# RSI 15.02.2024
# FORS/Planck polarisation that shows within 15deg the flip (deg) in 
# p850, I850: fractional polarisation and I850 intensity at 850mu. 
# tauV   = Av_mod/1.086 as in SC23 : 10.48550/arXiv.2311.03310
# Planck Collaboration XII (2020): p850 / (pV/tauv) ~ 4.2+/-0.5 
#                         p850*I850/pv ~ 5.4+/- 0.5 (MJy/sr/mag) 
# ------------------------------------------------------------------------------------------------------
#19 stars  |galB|  flip   p_max  pv     epV    tauV  av850   I850  p850 (%) ep850  Rsv   eRsv   Rpp    eRpp  
#9 -----------------------------------------------------------------------------------------------------
 HD027778  17.39   7.42   1.65   1.63   0.11   1.14   1.06   1.33   6.50   1.78   4.49   1.27   5.24   1.48
 HD038023  19.03  23.30   1.64   1.56   0.11   2.13  29.51  11.67   3.78   0.17   4.91   0.40  26.89   2.18
 HD046149   2.04  30.09   0.64   0.62   0.11   1.57   9.72   4.89   4.60   0.43  11.28   2.21  35.14   6.89
 HD046223   2.07  14.44   1.43   1.41   0.11   2.10   4.04   6.26   4.22   0.34   6.19   0.69  18.46   2.06
 HD054439   1.68   6.73   0.77   0.76   0.12   0.68   2.82   3.07   3.31   0.62   2.93   0.72  13.19   3.23
 HD108927  15.36   2.80   1.53   1.53   0.12   1.25  14.08   0.92   7.35   1.94   6.01   1.65   4.41   1.21
 HD129557   3.78   0.27   1.33   1.33   0.13   0.99   4.25   2.32   6.17   0.86   4.59   0.78  10.77   1.84
 HD146285  18.20  14.77   1.55   1.49   0.11   1.73   6.73   2.12   4.91   1.21   5.49   1.40   6.71   1.72
 HD152249   1.16  10.43   0.30   0.28   0.12   2.34   3.82  15.92   2.19   0.15  17.09   6.94 116.29  47.20
 HD167771   1.13  78.37   0.57   0.53   0.11   1.99   0.65  13.24   1.24   0.17   4.34   1.03  28.85   6.83
 HD185418   2.17  34.30   0.84   0.83   0.11   1.70  19.88   4.03   2.65   0.48   5.37   1.20  12.71   2.85
 HD287150  21.11  10.68   1.51   1.49   0.11   1.02  20.60   1.23   8.54   2.19   5.77   1.54   6.94   1.85
 HD315021   1.33  36.49   0.44   0.43   0.12   1.60   9.81  25.58   1.41   0.08   5.12   1.43  81.92  22.86
 HD315032   1.29  47.58   0.19   0.17   0.12   1.49   2.48  41.72   1.40   0.05  11.00   6.96 308.16 194.94
