 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 8.66E-07 5.58E-16 3.03E-07 6.82E-17 4.99E-09 4.74E-23 6.27E-08 1.06E-22 2.93E-12 2.09E-06 2.28E-14 3.323E-06
9.000E-01 1.01E-06 8.50E-16 3.58E-07 1.04E-16 6.37E-09 7.22E-23 7.46E-08 1.62E-22 3.62E-12 2.42E-06 3.46E-14 3.877E-06
8.000E-01 1.21E-06 1.36E-15 4.32E-07 1.67E-16 8.31E-09 1.16E-22 9.08E-08 2.59E-22 4.58E-12 2.87E-06 5.53E-14 4.610E-06
7.000E-01 1.48E-06 2.32E-15 5.33E-07 2.84E-16 1.11E-08 1.97E-22 1.12E-07 4.42E-22 5.98E-12 3.47E-06 9.40E-14 5.611E-06
6.000E-01 1.87E-06 4.29E-15 6.81E-07 5.26E-16 1.55E-08 3.65E-22 1.44E-07 8.18E-22 8.14E-12 4.34E-06 1.73E-13 7.051E-06
5.500E-01 2.14E-06 6.08E-15 7.83E-07 7.45E-16 1.85E-08 5.17E-22 1.66E-07 1.16E-21 9.69E-12 4.92E-06 2.45E-13 8.026E-06
5.000E-01 2.48E-06 8.89E-15 9.11E-07 1.09E-15 2.25E-08 7.58E-22 1.92E-07 1.70E-21 1.17E-11 5.65E-06 3.58E-13 9.252E-06
4.500E-01 2.92E-06 1.35E-14 1.08E-06 1.66E-15 2.76E-08 1.15E-21 2.29E-07 2.59E-21 1.45E-11 6.58E-06 5.43E-13 1.084E-05
4.000E-01 3.51E-06 2.17E-14 1.30E-06 2.66E-15 3.46E-08 1.85E-21 2.75E-07 4.14E-21 1.83E-11 7.82E-06 8.66E-13 1.294E-05
3.500E-01 4.33E-06 3.69E-14 1.62E-06 4.55E-15 4.44E-08 3.16E-21 3.44E-07 7.06E-21 2.39E-11 9.51E-06 1.47E-12 1.584E-05
3.000E-01 5.52E-06 6.83E-14 2.07E-06 8.42E-15 5.84E-08 5.85E-21 4.37E-07 1.31E-20 3.26E-11 1.19E-05 2.71E-12 2.003E-05
2.500E-01 7.39E-06 1.41E-13 2.79E-06 1.75E-14 7.97E-08 1.21E-20 5.87E-07 2.71E-20 4.69E-11 1.57E-05 5.58E-12 2.651E-05
2.098E-01 9.81E-06 2.85E-13 3.70E-06 3.52E-14 1.06E-07 2.44E-20 7.80E-07 5.46E-20 6.66E-11 2.04E-05 1.12E-11 3.478E-05
1.500E-01 1.70E-05 1.09E-12 6.41E-06 1.35E-13 2.02E-07 9.35E-20 1.34E-06 2.09E-19 1.30E-10 3.39E-05 4.21E-11 5.890E-05
1.382E-01 1.95E-05 1.51E-12 7.33E-06 1.87E-13 2.38E-07 1.30E-19 1.53E-06 2.89E-19 1.53E-10 3.85E-05 5.82E-11 6.711E-05
1.320E-01 2.11E-05 1.81E-12 7.90E-06 2.25E-13 2.61E-07 1.56E-19 1.65E-06 3.48E-19 1.68E-10 4.13E-05 6.97E-11 7.221E-05
1.150E-01 2.66E-05 3.14E-12 9.91E-06 3.90E-13 3.42E-07 2.71E-19 2.06E-06 6.03E-19 2.22E-10 5.12E-05 1.20E-10 9.011E-05
1.000E-01 3.38E-05 5.48E-12 1.25E-05 6.82E-13 4.49E-07 4.73E-19 2.57E-06 1.05E-18 2.93E-10 6.37E-05 2.09E-10 1.131E-04
9.970E-02 3.40E-05 5.55E-12 1.25E-05 6.90E-13 4.52E-07 4.79E-19 2.58E-06 1.07E-18 2.95E-10 6.40E-05 2.11E-10 1.136E-04
8.670E-02 4.28E-05 9.70E-12 1.58E-05 1.21E-12 5.98E-07 8.38E-19 3.24E-06 1.87E-18 3.90E-10 7.92E-05 3.67E-10 1.417E-04
8.500E-02 4.44E-05 1.05E-11 1.63E-05 1.31E-12 6.21E-07 9.07E-19 3.35E-06 2.02E-18 4.06E-10 8.19E-05 3.97E-10 1.466E-04
7.500E-02 5.63E-05 1.73E-11 2.01E-05 2.16E-12 7.90E-07 1.50E-18 4.09E-06 3.33E-18 5.21E-10 1.02E-04 6.50E-10 1.832E-04
6.000E-02 8.27E-05 4.22E-11 2.91E-05 5.31E-12 1.21E-06 3.65E-18 5.93E-06 8.13E-18 8.14E-10 1.43E-04 1.56E-09 2.619E-04
5.500E-02 9.59E-05 5.99E-11 3.26E-05 7.57E-12 1.43E-06 5.17E-18 6.91E-06 1.15E-17 9.69E-10 1.65E-04 2.20E-09 3.014E-04
5.000E-02 1.14E-04 8.78E-11 4.05E-05 1.12E-11 1.71E-06 7.57E-18 8.23E-06 1.69E-17 1.17E-09 1.94E-04 3.22E-09 3.591E-04
4.500E-02 1.41E-04 1.34E-10 5.38E-05 1.72E-11 2.08E-06 1.15E-17 1.01E-05 2.57E-17 1.45E-09 2.36E-04 4.88E-09 4.430E-04
4.000E-02 1.81E-04 2.16E-10 7.21E-05 2.80E-11 2.60E-06 1.85E-17 1.27E-05 4.13E-17 1.83E-09 2.94E-04 7.72E-09 5.625E-04
3.500E-02 2.27E-04 3.68E-10 1.10E-04 4.83E-11 3.33E-06 3.15E-17 1.68E-05 7.05E-17 2.40E-09 3.57E-04 1.30E-08 7.149E-04
3.000E-02 3.22E-04 6.88E-10 1.72E-04 8.99E-11 4.44E-06 5.84E-17 2.36E-05 1.31E-16 3.26E-09 4.81E-04 2.37E-08 1.003E-03
2.750E-02 3.85E-04 9.76E-10 2.16E-04 1.27E-10 5.23E-06 8.27E-17 2.89E-05 1.86E-16 3.88E-09 5.55E-04 3.31E-08 1.190E-03
2.500E-02 4.65E-04 1.44E-09 2.74E-04 1.86E-10 6.24E-06 1.21E-16 3.62E-05 2.72E-16 4.70E-09 6.56E-04 4.81E-08 1.438E-03
2.400E-02 5.11E-04 1.69E-09 3.03E-04 2.19E-10 6.76E-06 1.43E-16 3.95E-05 3.20E-16 5.10E-09 6.99E-04 5.59E-08 1.559E-03
2.000E-02 7.53E-04 3.57E-09 4.67E-04 4.41E-10 9.56E-06 2.96E-16 5.72E-05 6.63E-16 7.36E-09 9.55E-04 1.13E-07 2.242E-03
1.800E-02 9.46E-04 5.52E-09 5.75E-04 6.55E-10 1.18E-05 4.52E-16 7.11E-05 1.01E-15 9.10E-09 1.15E-03 1.69E-07 2.757E-03
1.600E-02 1.27E-03 8.99E-09 7.07E-04 1.02E-09 1.49E-05 7.25E-16 9.07E-05 1.62E-15 1.15E-08 1.41E-03 2.62E-07 3.489E-03
1.500E-02 1.52E-03 1.17E-08 7.87E-04 1.29E-09 1.69E-05 9.40E-16 1.03E-04 2.10E-15 1.31E-08 1.56E-03 3.30E-07 3.986E-03
1.400E-02 1.73E-03 1.55E-08 8.77E-04 1.67E-09 1.96E-05 1.24E-15 1.19E-04 2.77E-15 1.51E-08 1.71E-03 4.28E-07 4.453E-03
1.200E-02 2.65E-03 2.92E-08 1.10E-03 2.94E-09 2.72E-05 2.31E-15 1.63E-04 5.13E-15 2.06E-08 2.17E-03 7.34E-07 6.107E-03
1.000E-02 4.01E-03 6.11E-08 1.42E-03 5.70E-09 4.12E-05 4.82E-15 2.38E-04 1.07E-14 2.98E-08 2.79E-03 1.42E-06 8.502E-03
9.000E-03 5.31E-03 9.37E-08 1.60E-03 8.37E-09 5.29E-05 7.39E-15 2.97E-04 1.63E-14 3.70E-08 3.24E-03 2.05E-06 1.051E-02
8.000E-03 6.67E-03 1.40E-07 1.85E-03 1.31E-08 7.07E-05 1.19E-14 3.80E-04 2.61E-14 4.71E-08 3.63E-03 3.04E-06 1.261E-02
7.500E-03 7.77E-03 1.82E-07 2.04E-03 1.69E-08 8.35E-05 1.55E-14 4.36E-04 3.37E-14 5.38E-08 4.01E-03 3.83E-06 1.435E-02
