 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt
 # --------------------------------------------------------------------------------------------------------------
 1.000E+00 8.66E-07 5.58E-16 3.03E-07 6.82E-17 4.99E-09 4.74E-23 6.27E-08 1.06E-22 2.93E-12 2.09E-06 2.28E-14 3.323E-06
 2.159E-04 5.45E-02 8.79E-03 1.63E-04 3.71E-03 4.02E-03 1.52E-08 2.87E-03 1.15E-08 3.16E-05 2.62E-02 5.75E-02 1.578E-01
 1.662E-04 6.61E-02 2.19E-02 1.18E-04 1.01E-02 6.02E-03 4.24E-08 3.53E-03 3.29E-08 6.22E-05 3.06E-02 7.91E-02 2.174E-01
 1.235E-04 8.60E-02 5.56E-02 1.06E-04 2.90E-02 9.54E-03 1.35E-07 4.55E-03 1.08E-07 1.44E-04 3.60E-02 9.70E-02 3.179E-01
 5.477E-05 2.53E-01 2.74E-01 3.77E-04 2.87E-01 3.35E-02 3.22E-06 9.79E-03 2.83E-06 1.52E-03 5.29E-02 7.51E-02 9.883E-01
 4.440E-05 3.16E-01 2.93E-01 7.03E-04 4.15E-01 4.76E-02 7.55E-06 1.19E-02 6.65E-06 2.82E-03 5.55E-02 6.68E-02 1.209E+00
 3.656E-05 3.54E-01 2.91E-01 2.42E-03 5.56E-01 6.80E-02 1.70E-05 1.42E-02 1.49E-05 5.74E-03 5.58E-02 6.16E-02 1.408E+00
 2.780E-05 3.77E-01 2.80E-01 8.93E-03 7.26E-01 1.27E-01 6.55E-05 1.78E-02 4.78E-05 2.93E-02 5.28E-02 5.60E-02 1.676E+00
 2.630E-05 3.78E-01 2.78E-01 1.06E-02 7.46E-01 1.56E-01 9.30E-05 1.85E-02 6.11E-05 5.10E-02 5.18E-02 5.49E-02 1.745E+00
 2.500E-05 3.78E-01 2.77E-01 1.25E-02 7.58E-01 1.94E-01 1.36E-04 1.91E-02 7.67E-05 9.78E-02 5.11E-02 5.40E-02 1.842E+00
 2.380E-05 3.78E-01 2.76E-01 1.50E-02 7.60E-01 2.68E-01 2.07E-04 1.92E-02 9.63E-05 2.08E-01 5.02E-02 5.31E-02 2.029E+00
 2.270E-05 3.78E-01 2.74E-01 1.83E-02 7.54E-01 3.87E-01 3.03E-04 2.00E-02 1.21E-04 3.24E-01 4.93E-02 5.22E-02 2.258E+00
 2.170E-05 3.77E-01 2.74E-01 2.28E-02 7.43E-01 5.23E-01 3.94E-04 2.25E-02 1.51E-04 2.16E-01 4.86E-02 5.16E-02 2.279E+00
 2.080E-05 3.76E-01 2.73E-01 3.09E-02 7.26E-01 5.42E-01 3.65E-04 2.81E-02 1.88E-04 1.13E-01 4.79E-02 5.11E-02 2.188E+00
 2.000E-05 3.75E-01 2.72E-01 1.05E-01 6.46E-01 4.70E-01 2.86E-04 3.57E-02 2.31E-04 6.66E-02 4.72E-02 5.05E-02 2.068E+00
 1.920E-05 3.73E-01 2.73E-01 1.91E-01 5.62E-01 3.65E-01 1.97E-04 4.90E-02 2.86E-04 4.28E-02 4.64E-02 5.01E-02 1.952E+00
 1.850E-05 3.73E-01 2.76E-01 2.40E-01 5.17E-01 2.86E-01 1.39E-04 6.57E-02 3.51E-04 3.11E-02 4.57E-02 4.98E-02 1.884E+00
 1.790E-05 3.74E-01 2.78E-01 2.95E-01 4.59E-01 2.32E-01 1.06E-04 8.39E-02 4.20E-04 2.47E-02 4.53E-02 4.98E-02 1.842E+00
 1.720E-05 3.74E-01 2.79E-01 3.32E-01 4.18E-01 1.86E-01 8.45E-05 1.16E-01 5.27E-04 1.98E-02 4.45E-02 4.95E-02 1.820E+00
 1.670E-05 3.74E-01 2.81E-01 3.46E-01 3.99E-01 1.60E-01 7.69E-05 1.47E-01 6.22E-04 1.75E-02 4.39E-02 4.93E-02 1.818E+00
 1.610E-05 3.74E-01 2.83E-01 3.58E-01 3.82E-01 1.35E-01 7.82E-05 2.00E-01 7.69E-04 1.56E-02 4.34E-02 4.93E-02 1.841E+00
 1.560E-05 3.74E-01 2.84E-01 3.63E-01 3.72E-01 1.18E-01 8.82E-05 2.61E-01 9.20E-04 1.47E-02 4.27E-02 4.91E-02 1.881E+00
 1.520E-05 3.74E-01 2.85E-01 3.66E-01 3.66E-01 1.07E-01 1.03E-04 3.26E-01 1.06E-03 1.43E-02 4.22E-02 4.89E-02 1.931E+00
 1.470E-05 3.74E-01 2.86E-01 3.67E-01 3.59E-01 9.54E-02 1.29E-04 4.21E-01 1.25E-03 1.42E-02 4.17E-02 4.89E-02 2.008E+00
 1.430E-05 3.73E-01 2.86E-01 3.67E-01 3.54E-01 8.94E-02 1.62E-04 5.01E-01 1.40E-03 1.44E-02 4.13E-02 4.86E-02 2.077E+00
 1.390E-05 3.73E-01 2.86E-01 3.66E-01 3.51E-01 8.70E-02 2.06E-04 5.64E-01 1.55E-03 1.50E-02 4.11E-02 4.84E-02 2.133E+00
 1.350E-05 3.71E-01 2.86E-01 3.65E-01 3.47E-01 8.69E-02 2.64E-04 6.23E-01 1.74E-03 1.59E-02 4.07E-02 4.81E-02 2.186E+00
 1.320E-05 3.70E-01 2.86E-01 3.64E-01 3.44E-01 8.85E-02 3.21E-04 6.69E-01 1.90E-03 1.69E-02 4.06E-02 4.81E-02 2.231E+00
 1.280E-05 3.69E-01 2.86E-01 3.63E-01 3.41E-01 9.43E-02 4.20E-04 7.37E-01 2.17E-03 1.87E-02 4.01E-02 4.77E-02 2.300E+00
 1.250E-05 3.68E-01 2.87E-01 3.63E-01 3.40E-01 1.02E-01 5.18E-04 7.91E-01 2.40E-03 2.06E-02 3.98E-02 4.74E-02 2.362E+00
 1.190E-05 3.65E-01 2.87E-01 3.61E-01 3.41E-01 1.30E-01 7.96E-04 9.19E-01 3.00E-03 2.60E-02 3.93E-02 4.72E-02 2.521E+00
 1.160E-05 3.63E-01 2.87E-01 3.60E-01 3.43E-01 1.48E-01 9.92E-04 9.95E-01 3.38E-03 3.01E-02 3.91E-02 4.73E-02 2.617E+00
 1.140E-05 3.62E-01 2.86E-01 3.59E-01 3.43E-01 1.64E-01 1.17E-03 1.05E+00 3.68E-03 3.34E-02 3.90E-02 4.73E-02 2.690E+00
 1.110E-05 3.60E-01 2.86E-01 3.58E-01 3.44E-01 1.88E-01 1.52E-03 1.14E+00 4.20E-03 3.99E-02 3.86E-02 4.70E-02 2.810E+00
 1.080E-05 3.57E-01 2.85E-01 3.56E-01 3.44E-01 2.53E-01 2.03E-03 1.26E+00 4.84E-03 4.85E-02 3.82E-02 4.68E-02 2.992E+00
 1.050E-05 3.54E-01 2.84E-01 3.55E-01 3.45E-01 3.37E-01 2.64E-03 1.39E+00 5.66E-03 6.02E-02 3.80E-02 4.69E-02 3.223E+00
 1.030E-05 3.53E-01 2.84E-01 3.54E-01 3.45E-01 4.02E-01 3.02E-03 1.52E+00 6.30E-03 7.03E-02 3.76E-02 4.67E-02 3.426E+00
 1.000E-05 3.49E-01 2.82E-01 3.52E-01 3.46E-01 4.93E-01 3.69E-03 1.71E+00 7.23E-03 8.92E-02 3.74E-02 4.68E-02 3.717E+00
 9.750E-06 3.47E-01 2.81E-01 3.50E-01 3.47E-01 5.99E-01 4.57E-03 1.86E+00 8.05E-03 1.08E-01 3.71E-02 4.64E-02 3.988E+00
 9.500E-06 3.44E-01 2.80E-01 3.48E-01 3.48E-01 7.21E-01 5.41E-03 2.02E+00 8.95E-03 1.28E-01 3.69E-02 4.65E-02 4.285E+00
 9.250E-06 3.41E-01 2.79E-01 3.46E-01 3.50E-01 8.13E-01 6.05E-03 2.18E+00 9.84E-03 1.42E-01 3.58E-02 4.51E-02 4.549E+00
 9.080E-06 3.39E-01 2.78E-01 3.45E-01 3.50E-01 8.70E-01 6.50E-03 2.27E+00 1.03E-02 1.45E-01 3.41E-02 4.51E-02 4.696E+00
