 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   5.351E-08   1.558E-08   1.720E-07   3.323E-06
   9.000E-01   6.266E-08   1.840E-08   1.998E-07   3.877E-06
   8.000E-01   7.482E-08   2.216E-08   2.364E-07   4.610E-06
   7.000E-01   9.158E-08   2.738E-08   2.861E-07   5.611E-06
   6.000E-01   1.158E-07   3.499E-08   3.571E-07   7.051E-06
   5.500E-01   1.324E-07   4.019E-08   4.049E-07   8.026E-06
   5.000E-01   1.533E-07   4.681E-08   4.647E-07   9.252E-06
   4.500E-01   1.805E-07   5.541E-08   5.416E-07   1.084E-05
   4.000E-01   2.168E-07   6.694E-08   6.430E-07   1.294E-05
   3.500E-01   2.673E-07   8.300E-08   7.821E-07   1.584E-05
   3.000E-01   3.411E-07   1.065E-07   9.813E-07   2.003E-05
   2.500E-01   4.564E-07   1.431E-07   1.286E-06   2.651E-05
   2.098E-01   6.059E-07   1.902E-07   1.672E-06   3.478E-05
   1.500E-01   1.052E-06   3.291E-07   2.780E-06   5.890E-05
   1.382E-01   1.206E-06   3.763E-07   3.152E-06   6.711E-05
   1.320E-01   1.302E-06   4.057E-07   3.383E-06   7.221E-05
   1.150E-01   1.644E-06   5.091E-07   4.188E-06   9.011E-05
   1.000E-01   2.089E-06   6.402E-07   5.212E-06   1.131E-04
   9.970E-02   2.100E-06   6.434E-07   5.237E-06   1.136E-04
   8.670E-02   2.643E-06   8.117E-07   6.476E-06   1.417E-04
   8.500E-02   2.738E-06   8.389E-07   6.695E-06   1.466E-04
   7.500E-02   3.474E-06   1.032E-06   8.320E-06   1.832E-04
   6.000E-02   5.103E-06   1.496E-06   1.166E-05   2.619E-04
   5.500E-02   5.916E-06   1.681E-06   1.341E-05   3.014E-04
   5.000E-02   7.050E-06   2.095E-06   1.584E-05   3.591E-04
   4.500E-02   8.701E-06   2.789E-06   1.922E-05   4.430E-04
   4.000E-02   1.119E-05   3.752E-06   2.388E-05   5.625E-04
   3.500E-02   1.404E-05   5.741E-06   2.902E-05   7.149E-04
   3.000E-02   1.991E-05   8.968E-06   3.900E-05   1.003E-03
   2.750E-02   2.379E-05   1.127E-05   4.491E-05   1.190E-03
   2.500E-02   2.876E-05   1.431E-05   5.304E-05   1.438E-03
   2.400E-02   3.157E-05   1.581E-05   5.640E-05   1.559E-03
   2.000E-02   4.661E-05   2.413E-05   7.678E-05   2.242E-03
   1.800E-02   5.863E-05   2.942E-05   9.250E-05   2.757E-03
