 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.00E+04  3.85E-16  2.20E-17  4.71E-18  1.14E-18  1.61E-17
  9.00E+03  5.50E-16  3.14E-17  6.77E-18  1.65E-18  2.30E-17
  8.00E+03  8.19E-16  4.67E-17  1.02E-17  2.49E-18  3.41E-17
  7.00E+03  1.28E-15  7.33E-17  1.61E-17  3.97E-18  5.32E-17
  6.00E+03  2.16E-15  1.23E-16  2.73E-17  6.79E-18  8.89E-17
  5.50E+03  2.89E-15  1.65E-16  3.69E-17  9.20E-18  1.19E-16
  5.00E+03  3.97E-15  2.27E-16  5.12E-17  1.28E-17  1.63E-16
  4.50E+03  5.65E-15  3.23E-16  7.35E-17  1.85E-17  2.31E-16
  4.00E+03  8.37E-15  4.77E-16  1.10E-16  2.77E-17  3.40E-16
  3.50E+03  1.30E-14  7.44E-16  1.74E-16  4.38E-17  5.26E-16
  3.00E+03  2.17E-14  1.24E-15  2.94E-16  7.41E-17  8.69E-16
  2.50E+03  3.93E-14  2.25E-15  5.46E-16  1.37E-16  1.56E-15
  2.10E+03  6.91E-14  3.96E-15  9.86E-16  2.46E-16  2.73E-15
  1.50E+03  1.99E-13  1.14E-14  3.00E-15  7.29E-16  7.68E-15
  1.38E+03  2.56E-13  1.47E-14  3.92E-15  9.42E-16  9.82E-15
  1.32E+03  2.94E-13  1.69E-14  4.55E-15  1.09E-15  1.13E-14
  1.15E+03  4.43E-13  2.55E-14  7.08E-15  1.66E-15  1.68E-14
  1.00E+03  6.65E-13  3.84E-14  1.10E-14  2.50E-15  2.49E-14
  9.97E+02  6.70E-13  3.87E-14  1.11E-14  2.52E-15  2.51E-14
  8.67E+02  9.82E-13  5.69E-14  1.68E-14  3.76E-15  3.63E-14
  8.50E+02  1.04E-12  6.01E-14  1.79E-14  3.97E-15  3.83E-14
  7.50E+02  1.47E-12  8.54E-14  2.64E-14  5.55E-15  5.35E-14
  6.00E+02  2.49E-12  1.46E-13  4.87E-14  9.61E-15  8.74E-14
  5.50E+02  3.00E-12  1.76E-13  6.06E-14  1.13E-14  1.04E-13
  5.00E+02  3.70E-12  2.18E-13  7.72E-14  1.47E-14  1.26E-13
  4.50E+02  4.63E-12  2.74E-13  1.01E-13  1.99E-14  1.53E-13
  4.00E+02  5.80E-12  3.44E-13  1.34E-13  2.65E-14  1.84E-13
  3.50E+02  6.91E-12  4.11E-13  1.69E-13  3.82E-14  2.04E-13
  3.00E+02  8.50E-12  5.07E-13  2.26E-13  5.20E-14  2.28E-13
  2.75E+02  9.04E-12  5.39E-13  2.54E-13  5.81E-14  2.27E-13
  2.50E+02  9.38E-12  5.59E-13  2.77E-13  6.25E-14  2.19E-13
  2.40E+02  9.45E-12  5.63E-13  2.88E-13  6.35E-14  2.11E-13
