 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.00E+04  3.85E-16  7.66E-17  2.21E-17  2.20E-17  2.83E-16  2.53E-19  3.21E-18  1.02E-22  3.03E-21
  9.00E+03  5.50E-16  1.10E-16  3.20E-17  3.14E-17  4.03E-16  3.95E-19  4.67E-18  1.53E-22  8.23E-21
  8.00E+03  8.19E-16  1.65E-16  4.83E-17  4.67E-17  5.97E-16  6.44E-19  7.11E-18  2.40E-22  2.21E-20
  7.00E+03  1.28E-15  2.62E-16  7.70E-17  7.33E-17  9.33E-16  1.11E-18  1.12E-17  3.96E-22  5.85E-20
  6.00E+03  2.16E-15  4.45E-16  1.32E-16  1.23E-16  1.56E-15  2.05E-18  1.93E-17  7.04E-22  1.51E-19
  5.50E+03  2.89E-15  6.00E-16  1.79E-16  1.65E-16  2.08E-15  2.89E-18  2.61E-17  9.71E-22  2.41E-19
  5.00E+03  3.97E-15  8.33E-16  2.49E-16  2.27E-16  2.85E-15  4.17E-18  3.60E-17  1.38E-21  3.81E-19
  4.50E+03  5.65E-15  1.20E-15  3.58E-16  3.23E-16  4.04E-15  6.21E-18  5.19E-17  2.02E-21  5.97E-19
  4.00E+03  8.37E-15  1.79E-15  5.38E-16  4.77E-16  5.95E-15  9.62E-18  7.70E-17  3.09E-21  9.22E-19
  3.50E+03  1.30E-14  2.83E-15  8.51E-16  7.44E-16  9.21E-15  1.56E-17  1.22E-16  4.96E-21  1.40E-18
  3.00E+03  2.17E-14  4.79E-15  1.44E-15  1.24E-15  1.52E-14  2.68E-17  2.02E-16  8.49E-21  2.09E-18
  2.50E+03  3.93E-14  8.89E-15  2.66E-15  2.25E-15  2.73E-14  4.97E-17  3.68E-16  1.58E-20  3.03E-18
  2.10E+03  6.91E-14  1.61E-14  4.77E-15  3.96E-15  4.76E-14  8.78E-17  6.49E-16  2.84E-20  3.96E-18
  1.50E+03  1.99E-13  4.89E-14  1.41E-14  1.14E-14  1.34E-13  2.79E-16  1.83E-15  8.46E-20  5.49E-18
  1.38E+03  2.56E-13  6.39E-14  1.83E-14  1.47E-14  1.71E-13  3.69E-16  2.35E-15  1.10E-19  5.76E-18
  1.32E+03  2.94E-13  7.42E-14  2.11E-14  1.69E-14  1.95E-13  4.30E-16  2.69E-15  1.28E-19  5.89E-18
  1.15E+03  4.43E-13  1.15E-13  3.21E-14  2.55E-14  2.91E-13  6.78E-16  4.00E-15  2.00E-19  6.20E-18
  1.00E+03  6.65E-13  1.79E-13  4.85E-14  3.84E-14  4.30E-13  1.06E-15  5.88E-15  3.15E-19  6.36E-18
  9.97E+02  6.70E-13  1.81E-13  4.89E-14  3.87E-14  4.33E-13  1.07E-15  5.93E-15  3.19E-19  6.47E-18
  8.67E+02  9.82E-13  2.75E-13  7.28E-14  5.69E-14  6.24E-13  1.66E-15  8.61E-15  5.07E-19  1.34E-17
  8.50E+02  1.04E-12  2.92E-13  7.69E-14  6.01E-14  6.58E-13  1.76E-15  9.06E-15  5.41E-19  1.48E-17
  7.50E+02  1.47E-12  4.31E-13  1.08E-13  8.54E-14  9.15E-13  2.55E-15  1.24E-14  8.25E-19  2.55E-17
  6.00E+02  2.49E-12  7.97E-13  1.86E-13  1.46E-13  1.48E-12  4.78E-15  2.10E-14  1.75E-18  5.56E-17
  5.50E+02  3.00E-12  9.93E-13  2.19E-13  1.76E-13  1.76E-12  6.01E-15  2.56E-14  2.34E-18  7.13E-17
  5.00E+02  3.70E-12  1.27E-12  2.82E-13  2.18E-13  2.11E-12  7.62E-15  3.16E-14  3.20E-18  9.06E-17
  4.50E+02  4.63E-12  1.65E-12  3.81E-13  2.74E-13  2.54E-12  9.87E-15  3.96E-14  4.50E-18  1.14E-16
  4.00E+02  5.80E-12  2.20E-12  5.06E-13  3.44E-13  3.03E-12  1.29E-14  5.06E-14  6.51E-18  1.42E-16
  3.50E+02  6.91E-12  2.78E-12  7.29E-13  4.11E-13  3.32E-12  1.73E-14  6.62E-14  9.73E-18  1.73E-16
  3.00E+02  8.50E-12  3.73E-12  9.92E-13  5.07E-13  3.66E-12  2.36E-14  8.88E-14  1.51E-17  2.07E-16
  2.75E+02  9.04E-12  4.19E-12  1.11E-12  5.39E-13  3.60E-12  2.78E-14  1.04E-13  1.91E-17  2.25E-16
  2.50E+02  9.38E-12  4.59E-12  1.20E-12  5.59E-13  3.43E-12  3.30E-14  1.24E-13  2.43E-17  2.42E-16
  2.40E+02  9.45E-12  4.77E-12  1.22E-12  5.63E-13  3.29E-12  3.55E-14  1.32E-13  2.69E-17  2.52E-16
  2.00E+02  8.95E-12  5.08E-12  1.18E-12  5.29E-13  2.47E-12  4.78E-14  1.66E-13  4.05E-17  3.10E-16
  1.80E+02  8.09E-12  4.91E-12  1.02E-12  4.75E-13  1.92E-12  5.63E-14  1.88E-13  5.01E-17  3.39E-16
  1.60E+02  6.91E-12  4.56E-12  7.75E-13  3.99E-13  1.29E-12  6.69E-14  2.14E-13  6.20E-17  3.66E-16
  1.50E+02  6.22E-12  4.29E-12  6.39E-13  3.55E-13  9.87E-13  7.31E-14  2.27E-13  6.89E-17  3.78E-16
  1.40E+02  5.19E-12  3.67E-12  4.98E-13  2.90E-13  6.96E-13  8.05E-14  2.44E-13  7.66E-17  3.40E-16
  1.20E+02  3.51E-12  2.60E-12  2.46E-13  1.85E-13  2.78E-13  9.87E-14  2.80E-13  9.46E-17  2.54E-16
  1.00E+02  1.81E-12  1.22E-12  8.08E-14  7.89E-14  6.51E-14  1.24E-13  3.22E-13  1.17E-16  1.84E-16
  9.00E+01  1.25E-12  7.03E-13  3.56E-14  4.35E-14  2.32E-14  1.41E-13  3.44E-13  1.31E-16  1.54E-16
  8.00E+01  8.45E-13  3.00E-13  1.25E-14  1.78E-14  5.75E-15  1.61E-13  3.64E-13  1.47E-16  1.10E-16
  7.50E+01  7.35E-13  1.80E-13  6.67E-15  1.04E-14  2.53E-15  1.74E-13  3.72E-13  1.56E-16  9.23E-17
  7.00E+01  6.66E-13  9.63E-14  3.25E-15  5.45E-15  9.43E-16  1.87E-13  3.78E-13  1.66E-16  7.72E-17
  6.00E+01  6.16E-13  1.72E-14  5.13E-16  9.19E-16  7.58E-17  2.22E-13  3.76E-13  1.89E-16  5.31E-17
  5.00E+01  6.18E-13  1.20E-15  3.81E-17  5.90E-17  1.97E-18  2.71E-13  3.46E-13  2.13E-16  3.57E-17
  4.50E+01  6.18E-13  1.87E-16  6.42E-18  8.66E-18  1.64E-19  3.04E-13  3.14E-13  2.26E-16  2.89E-17
  4.00E+01  6.05E-13  1.68E-17  6.62E-19  7.17E-19  7.04E-21  3.35E-13  2.69E-13  2.40E-16  2.31E-17
  3.50E+01  5.40E-13  7.34E-19  3.29E-20  2.79E-20  1.18E-22  3.28E-13  2.12E-13  2.59E-16  1.82E-17
  3.00E+01  3.74E-13  1.04E-20  5.47E-22  3.31E-22  4.79E-25  2.23E-13  1.51E-13  2.99E-16  1.45E-17
  2.75E+01  2.70E-13  6.66E-22  3.85E-23  1.87E-23  1.39E-26  1.48E-13  1.22E-13  3.50E-16  1.29E-17
  2.50E+01  1.83E-13  2.40E-23  1.55E-24  5.78E-25  1.95E-28  8.62E-14  9.65E-14  5.09E-16  1.14E-17
  2.40E+01  1.55E-13  5.25E-24  3.52E-25  1.18E-25  2.73E-29  6.79E-14  8.69E-14  6.79E-16  1.08E-17
  2.35E+01  1.43E-13  2.34E-24  1.60E-25  5.04E-26  9.61E-30  6.00E-14  8.24E-14  7.84E-16  1.05E-17
  2.32E+01  1.36E-13  1.41E-24  9.80E-26  2.97E-26  5.02E-30  5.56E-14  7.98E-14  8.31E-16  1.03E-17
  2.31E+01  1.34E-13  1.19E-24  8.30E-26  2.48E-26  4.02E-30  5.42E-14  7.89E-14  8.41E-16  1.03E-17
  2.30E+01  1.32E-13  1.00E-24  7.02E-26  2.07E-26  3.22E-30  5.29E-14  7.80E-14  8.49E-16  1.02E-17
  2.25E+01  1.21E-13  4.13E-25  2.97E-26  8.14E-27  1.03E-30  4.66E-14  7.40E-14  8.60E-16  9.93E-18
  2.20E+01  1.12E-13  1.63E-25  1.21E-26  3.07E-27  3.11E-31  4.10E-14  7.04E-14  8.79E-16  9.65E-18
  2.15E+01  1.04E-13  6.21E-26  4.73E-27  1.11E-27  8.86E-32  3.60E-14  6.66E-14  9.37E-16  9.37E-18
  2.12E+01  9.88E-14  3.40E-26  2.63E-27  5.88E-28  0.00E+00  3.34E-14  6.44E-14  9.62E-16  9.21E-18
  2.11E+01  9.72E-14  2.76E-26  2.15E-27  4.73E-28  0.00E+00  3.25E-14  6.38E-14  9.63E-16  9.16E-18
  2.10E+01  9.57E-14  2.24E-26  1.76E-27  3.80E-28  0.00E+00  3.17E-14  6.31E-14  9.60E-16  9.10E-18
  2.08E+01  9.28E-14  1.47E-26  1.16E-27  2.43E-28  0.00E+00  3.01E-14  6.17E-14  9.43E-16  8.99E-18
  2.00E+01  8.22E-14  2.49E-27  2.06E-28  3.76E-29  0.00E+00  2.45E-14  5.68E-14  8.61E-16  8.57E-18
  1.95E+01  7.63E-14  7.66E-28  6.45E-29  1.09E-29  0.00E+00  2.16E-14  5.37E-14  9.08E-16  8.51E-18
  1.90E+01  7.02E-14  2.22E-28  1.88E-29  2.95E-30  0.00E+00  1.91E-14  5.00E-14  1.08E-15  8.44E-18
  1.85E+01  6.38E-14  6.03E-29  5.06E-30  7.47E-31  0.00E+00  1.68E-14  4.56E-14  1.37E-15  8.38E-18
  1.83E+01  6.11E-14  3.51E-29  2.92E-30  4.21E-31  0.00E+00  1.60E-14  4.36E-14  1.47E-15  8.35E-18
  1.82E+01  5.98E-14  2.66E-29  2.21E-30  3.14E-31  0.00E+00  1.56E-14  4.26E-14  1.50E-15  8.33E-18
  1.81E+01  5.83E-14  2.01E-29  1.66E-30  2.34E-31  0.00E+00  1.52E-14  4.16E-14  1.52E-15  8.32E-18
  1.80E+01  5.69E-14  1.52E-29  1.25E-30  1.74E-31  0.00E+00  1.49E-14  4.05E-14  1.52E-15  8.30E-18
  1.75E+01  4.97E-14  3.53E-30  2.78E-31  3.72E-32  0.00E+00  1.32E-14  3.50E-14  1.53E-15  8.22E-18
  1.70E+01  4.31E-14  7.47E-31  0.00E+00  7.22E-33  0.00E+00  1.17E-14  2.95E-14  1.85E-15  8.13E-18
  1.67E+01  3.95E-14  2.84E-31  0.00E+00  2.60E-33  0.00E+00  1.09E-14  2.64E-14  2.17E-15  8.08E-18
