 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt
 # --------------------------------------------------------------------------------------------------------------
 1.000E+00 6.02E-08 2.94E-17 4.16E-07 7.10E-17 9.86E-09 7.71E-23 1.39E-07 1.94E-22 5.33E-12 9.44E-07 1.49E-14 1.569E-06
 2.159E-04 1.75E-02 2.42E-03 3.52E-04 6.94E-03 7.95E-03 2.48E-08 6.38E-03 2.10E-08 6.45E-05 5.43E-02 1.17E-01 2.127E-01
 1.662E-04 2.17E-02 6.46E-03 2.54E-04 1.98E-02 1.19E-02 6.90E-08 7.83E-03 6.03E-08 1.23E-04 6.25E-02 1.40E-01 2.700E-01
 1.235E-04 2.97E-02 1.79E-02 2.30E-04 5.98E-02 1.88E-02 2.20E-07 1.01E-02 1.98E-07 2.76E-04 7.22E-02 1.48E-01 3.573E-01
 5.477E-05 9.43E-02 9.20E-02 8.76E-04 6.46E-01 6.62E-02 5.24E-06 2.17E-02 5.18E-06 3.05E-03 9.49E-02 1.15E-01 1.134E+00
 4.440E-05 1.21E-01 9.68E-02 1.63E-03 9.51E-01 9.39E-02 1.23E-05 2.65E-02 1.22E-05 5.66E-03 9.62E-02 1.01E-01 1.493E+00
 3.656E-05 1.40E-01 9.76E-02 5.61E-03 1.23E+00 1.34E-01 2.76E-05 3.16E-02 2.72E-05 1.16E-02 9.44E-02 9.53E-02 1.839E+00
 2.780E-05 1.58E-01 9.75E-02 2.07E-02 1.47E+00 2.51E-01 1.07E-04 3.96E-02 8.75E-05 5.70E-02 9.04E-02 9.21E-02 2.274E+00
 2.630E-05 1.60E-01 9.73E-02 2.45E-02 1.49E+00 3.07E-01 1.52E-04 4.11E-02 1.12E-04 9.57E-02 8.95E-02 9.18E-02 2.400E+00
 2.500E-05 1.61E-01 9.74E-02 2.90E-02 1.51E+00 3.83E-01 2.21E-04 4.25E-02 1.40E-04 1.69E-01 8.88E-02 9.16E-02 2.577E+00
 2.380E-05 1.62E-01 9.76E-02 3.47E-02 1.54E+00 5.28E-01 3.37E-04 4.26E-02 1.76E-04 3.01E-01 8.80E-02 9.14E-02 2.886E+00
 2.270E-05 1.63E-01 9.73E-02 4.23E-02 1.57E+00 7.63E-01 4.94E-04 4.43E-02 2.21E-04 4.02E-01 8.73E-02 9.13E-02 3.260E+00
 2.170E-05 1.64E-01 9.73E-02 5.28E-02 1.61E+00 1.03E+00 6.41E-04 4.98E-02 2.77E-04 3.09E-01 8.66E-02 9.13E-02 3.490E+00
 2.080E-05 1.64E-01 9.74E-02 7.16E-02 1.64E+00 1.07E+00 5.95E-04 6.22E-02 3.44E-04 1.90E-01 8.59E-02 9.13E-02 3.477E+00
 2.000E-05 1.64E-01 9.72E-02 2.47E-01 1.51E+00 9.28E-01 4.66E-04 7.91E-02 4.22E-04 1.21E-01 8.53E-02 9.13E-02 3.328E+00
 1.920E-05 1.64E-01 9.77E-02 4.61E-01 1.33E+00 7.20E-01 3.20E-04 1.09E-01 5.24E-04 8.12E-02 8.45E-02 9.13E-02 3.142E+00
 1.850E-05 1.64E-01 9.91E-02 5.90E-01 1.23E+00 5.64E-01 2.26E-04 1.46E-01 6.42E-04 5.98E-02 8.38E-02 9.14E-02 3.033E+00
 1.790E-05 1.65E-01 1.00E-01 7.44E-01 1.10E+00 4.59E-01 1.73E-04 1.86E-01 7.69E-04 4.77E-02 8.32E-02 9.16E-02 2.980E+00
 1.720E-05 1.66E-01 1.01E-01 8.57E-01 1.01E+00 3.68E-01 1.38E-04 2.58E-01 9.64E-04 3.81E-02 8.23E-02 9.18E-02 2.978E+00
 1.670E-05 1.67E-01 1.02E-01 9.11E-01 9.76E-01 3.15E-01 1.25E-04 3.25E-01 1.14E-03 3.34E-02 8.17E-02 9.19E-02 3.004E+00
 1.610E-05 1.68E-01 1.03E-01 9.63E-01 9.43E-01 2.66E-01 1.27E-04 4.43E-01 1.41E-03 2.95E-02 8.08E-02 9.23E-02 3.089E+00
 1.560E-05 1.69E-01 1.04E-01 9.97E-01 9.22E-01 2.33E-01 1.44E-04 5.78E-01 1.68E-03 2.73E-02 8.01E-02 9.25E-02 3.205E+00
 1.520E-05 1.70E-01 1.05E-01 1.02E+00 9.09E-01 2.12E-01 1.67E-04 7.23E-01 1.93E-03 2.62E-02 7.95E-02 9.26E-02 3.339E+00
