 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   8.897E-10   6.715E-09   2.880E-08   1.569E-06
   9.000E-01   1.042E-09   7.927E-09   3.352E-08   1.839E-06
   8.000E-01   1.245E-09   9.549E-09   3.972E-08   2.197E-06
   7.000E-01   1.525E-09   1.180E-08   4.819E-08   2.686E-06
   6.000E-01   1.930E-09   1.507E-08   6.031E-08   3.395E-06
   5.500E-01   2.206E-09   1.732E-08   6.850E-08   3.877E-06
   5.000E-01   2.556E-09   2.017E-08   7.876E-08   4.482E-06
   4.500E-01   3.011E-09   2.387E-08   9.199E-08   5.271E-06
   4.000E-01   3.619E-09   2.884E-08   1.095E-07   6.314E-06
   3.500E-01   4.466E-09   3.576E-08   1.336E-07   7.770E-06
   3.000E-01   5.703E-09   4.587E-08   1.682E-07   9.858E-06
   2.500E-01   7.640E-09   6.163E-08   2.215E-07   1.311E-05
   2.098E-01   1.015E-08   8.193E-08   2.892E-07   1.726E-05
   1.500E-01   1.765E-08   1.418E-07   4.855E-07   2.943E-05
   1.382E-01   2.025E-08   1.621E-07   5.519E-07   3.358E-05
   1.320E-01   2.187E-08   1.748E-07   5.932E-07   3.616E-05
   1.150E-01   2.763E-08   2.194E-07   7.377E-07   4.520E-05
   1.000E-01   3.515E-08   2.759E-07   9.226E-07   5.674E-05
   9.970E-02   3.533E-08   2.773E-07   9.271E-07   5.702E-05
   8.670E-02   4.449E-08   3.498E-07   1.151E-06   7.139E-05
   8.500E-02   4.609E-08   3.615E-07   1.191E-06   7.382E-05
   7.500E-02   5.848E-08   4.446E-07   1.487E-06   9.170E-05
   6.000E-02   8.603E-08   6.425E-07   2.107E-06   1.315E-04
   5.500E-02   9.967E-08   7.204E-07   2.429E-06   1.506E-04
   5.000E-02   1.186E-07   8.942E-07   2.876E-06   1.809E-04
   4.500E-02   1.462E-07   1.187E-06   3.506E-06   2.265E-04
   4.000E-02   1.878E-07   1.589E-06   4.394E-06   2.906E-04
   3.500E-02   2.354E-07   2.422E-06   5.381E-06   3.882E-04
   3.000E-02   3.323E-07   3.782E-06   7.336E-06   5.609E-04
   2.750E-02   3.967E-07   4.759E-06   8.526E-06   6.786E-04
   2.500E-02   4.776E-07   6.058E-06   1.014E-05   8.366E-04
   2.400E-02   5.246E-07   6.703E-06   1.087E-05   9.131E-04
   2.000E-02   7.677E-07   1.038E-05   1.514E-05   1.351E-03
   1.800E-02   9.564E-07   1.282E-05   1.848E-05   1.670E-03
   1.600E-02   1.272E-06   1.584E-05   2.308E-05   2.099E-03
   1.500E-02   1.517E-06   1.770E-05   2.605E-05   2.375E-03
   1.400E-02   1.726E-06   1.978E-05   2.880E-05   2.667E-03
   1.200E-02   2.639E-06   2.493E-05   3.817E-05   3.534E-03
   1.000E-02   4.010E-06   3.240E-05   5.115E-05   4.826E-03
   9.000E-03   5.347E-06   3.661E-05   6.152E-05   5.766E-03
   8.000E-03   7.099E-06   4.228E-05   7.146E-05   6.903E-03
   7.500E-03   8.311E-06   4.669E-05   8.034E-05   7.773E-03
   7.000E-03   1.005E-05   5.219E-05   8.916E-05   8.825E-03
   6.000E-03   1.444E-05   6.646E-05   1.121E-04   1.163E-02
   5.000E-03   2.053E-05   9.327E-05   1.446E-04   1.638E-02
   4.500E-03   2.518E-05   1.125E-04   1.683E-04   2.009E-02
   4.000E-03   2.968E-05   1.357E-04   1.964E-04   2.505E-02
   3.500E-03   3.542E-05   1.605E-04   2.360E-04   3.151E-02
   3.000E-03   4.266E-05   1.825E-04   2.920E-04   4.016E-02
   2.750E-03   4.586E-05   1.898E-04   3.265E-04   4.524E-02
   2.500E-03   4.821E-05   1.948E-04   3.665E-04   5.134E-02
   2.400E-03   4.953E-05   1.962E-04   3.848E-04   5.417E-02
   2.350E-03   5.032E-05   1.970E-04   3.949E-04   5.581E-02
   2.320E-03   5.070E-05   1.976E-04   4.004E-04   5.680E-02
   2.310E-03   5.083E-05   1.979E-04   4.023E-04   5.714E-02
   2.300E-03   5.098E-05   1.980E-04   4.042E-04   5.748E-02
   2.250E-03   5.146E-05   1.992E-04   4.146E-04   5.934E-02
   2.200E-03   5.194E-05   2.003E-04   4.248E-04   6.140E-02
   2.150E-03   5.263E-05   2.012E-04   4.344E-04   6.355E-02
   2.120E-03   5.306E-05   2.008E-04   4.404E-04   6.491E-02
   2.110E-03   5.316E-05   2.007E-04   4.423E-04   6.537E-02
   2.100E-03   5.322E-05   2.005E-04   4.440E-04   6.584E-02
   2.080E-03   5.325E-05   1.996E-04   4.467E-04   6.669E-02
