 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.00E+04  1.05E-16  1.86E-18  8.34E-20  2.71E-19  1.51E-18
  9.00E+03  1.51E-16  2.67E-18  1.20E-19  3.92E-19  2.16E-18
  8.00E+03  2.26E-16  3.99E-18  1.81E-19  5.93E-19  3.21E-18
  7.00E+03  3.56E-16  6.27E-18  2.87E-19  9.46E-19  5.04E-18
  6.00E+03  6.01E-16  1.06E-17  4.89E-19  1.62E-18  8.48E-18
  5.50E+03  8.08E-16  1.42E-17  6.61E-19  2.20E-18  1.14E-17
  5.00E+03  1.12E-15  1.96E-17  9.20E-19  3.06E-18  1.57E-17
  4.50E+03  1.59E-15  2.80E-17  1.33E-18  4.42E-18  2.23E-17
  4.00E+03  2.37E-15  4.17E-17  1.99E-18  6.64E-18  3.31E-17
  3.50E+03  3.72E-15  6.53E-17  3.17E-18  1.05E-17  5.17E-17
  3.00E+03  6.23E-15  1.09E-16  5.40E-18  1.78E-17  8.62E-17
  2.50E+03  1.14E-14  2.01E-16  1.01E-17  3.31E-17  1.57E-16
  2.10E+03  2.03E-14  3.58E-16  1.85E-17  5.95E-17  2.80E-16
  1.50E+03  5.98E-14  1.06E-15  5.80E-17  1.78E-16  8.22E-16
  1.38E+03  7.75E-14  1.37E-15  7.64E-17  2.31E-16  1.06E-15
  1.32E+03  8.95E-14  1.58E-15  8.91E-17  2.67E-16  1.23E-15
  1.15E+03  1.37E-13  2.43E-15  1.41E-16  4.09E-16  1.88E-15
  1.00E+03  2.09E-13  3.72E-15  2.24E-16  6.23E-16  2.87E-15
  9.97E+02  2.10E-13  3.75E-15  2.26E-16  6.28E-16  2.90E-15
  8.67E+02  3.14E-13  5.62E-15  3.52E-16  9.43E-16  4.33E-15
  8.50E+02  3.33E-13  5.96E-15  3.75E-16  9.97E-16  4.59E-15
  7.50E+02  4.79E-13  8.63E-15  5.68E-16  1.41E-15  6.66E-15
  6.00E+02  8.48E-13  1.54E-14  1.11E-15  2.48E-15  1.18E-14
  5.50E+02  1.04E-12  1.90E-14  1.42E-15  2.95E-15  1.46E-14
  5.00E+02  1.32E-12  2.42E-14  1.87E-15  3.84E-15  1.85E-14
  4.50E+02  1.71E-12  3.15E-14  2.55E-15  5.27E-15  2.37E-14
  4.00E+02  2.23E-12  4.14E-14  3.58E-15  7.12E-15  3.07E-14
  3.50E+02  2.87E-12  5.30E-14  4.85E-15  1.05E-14  3.76E-14
  3.00E+02  3.80E-12  7.02E-14  7.17E-15  1.48E-14  4.83E-14
  2.75E+02  4.22E-12  7.80E-14  8.58E-15  1.69E-14  5.25E-14
  2.50E+02  4.62E-12  8.51E-14  1.01E-14  1.87E-14  5.62E-14
  2.40E+02  4.74E-12  8.73E-14  1.10E-14  1.93E-14  5.70E-14
  2.00E+02  4.96E-12  9.03E-14  1.40E-14  1.97E-14  5.66E-14
  1.80E+02  4.72E-12  8.56E-14  1.52E-14  1.77E-14  5.27E-14
  1.60E+02  4.21E-12  7.56E-14  1.65E-14  1.41E-14  4.51E-14
  1.50E+02  3.86E-12  6.87E-14  1.70E-14  1.18E-14  3.98E-14
  1.40E+02  3.36E-12  5.86E-14  1.63E-14  9.47E-15  3.28E-14
  1.20E+02  2.43E-12  4.00E-14  1.52E-14  4.92E-15  1.98E-14
  1.00E+02  1.48E-12  2.03E-14  1.06E-14  1.69E-15  8.01E-15
  9.00E+01  1.13E-12  1.28E-14  7.96E-15  7.54E-16  4.13E-15
  8.00E+01  8.61E-13  6.84E-15  4.97E-15  2.64E-16  1.60E-15
  7.50E+01  7.70E-13  4.69E-15  3.63E-15  1.40E-16  9.18E-16
  7.00E+01  7.05E-13  3.06E-15  2.53E-15  6.71E-17  4.65E-16
  6.00E+01  6.30E-13  9.53E-16  8.65E-16  9.85E-18  7.81E-17
  5.00E+01  6.11E-13  1.56E-16  1.50E-16  6.26E-19  5.50E-18
  4.50E+01  6.11E-13  4.39E-17  4.29E-17  9.28E-20  8.84E-19
  4.00E+01  6.05E-13  8.01E-18  7.92E-18  7.94E-21  8.39E-20
  3.50E+01  5.56E-13  8.31E-19  8.27E-19  3.02E-22  3.83E-21
  3.00E+01  4.07E-13  3.62E-20  3.62E-20  3.36E-24  5.72E-23
  2.75E+01  3.08E-13  4.58E-21  4.57E-21  1.80E-25  3.75E-24
  2.50E+01  2.22E-13  3.60E-22  3.59E-22  5.18E-27  1.38E-25
  2.40E+01  1.94E-13  1.12E-22  1.12E-22  1.01E-27  2.99E-26
  2.35E+01  1.82E-13  5.99E-23  5.99E-23  4.22E-28  1.33E-26
  2.32E+01  1.74E-13  4.06E-23  4.06E-23  2.46E-28  8.00E-27
  2.31E+01  1.72E-13  3.56E-23  3.56E-23  2.04E-28  6.74E-27
