 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.00E+04  1.05E-16  3.73E-18  1.78E-17  1.94E-18  8.03E-17  2.36E-19  3.40E-18  1.01E-22  3.03E-21
  9.00E+03  1.51E-16  5.38E-18  2.57E-17  2.77E-18  1.15E-16  3.67E-19  4.93E-18  1.50E-22  8.23E-21
  8.00E+03  2.26E-16  8.08E-18  3.89E-17  4.14E-18  1.71E-16  5.98E-19  7.50E-18  2.35E-22  2.21E-20
  7.00E+03  3.56E-16  1.28E-17  6.21E-17  6.52E-18  2.68E-16  1.03E-18  1.19E-17  3.88E-22  5.85E-20
  6.00E+03  6.01E-16  2.19E-17  1.07E-16  1.10E-17  4.50E-16  1.90E-18  2.03E-17  6.89E-22  1.51E-19
  5.50E+03  8.08E-16  2.96E-17  1.44E-16  1.48E-17  6.04E-16  2.67E-18  2.74E-17  9.50E-22  2.41E-19
  5.00E+03  1.12E-15  4.12E-17  2.01E-16  2.04E-17  8.32E-16  3.84E-18  3.78E-17  1.35E-21  3.81E-19
  4.50E+03  1.59E-15  5.94E-17  2.90E-16  2.91E-17  1.18E-15  5.72E-18  5.44E-17  1.97E-21  5.97E-19
  4.00E+03  2.37E-15  8.94E-17  4.37E-16  4.33E-17  1.76E-15  8.83E-18  8.05E-17  3.01E-21  9.22E-19
  3.50E+03  3.72E-15  1.42E-16  6.92E-16  6.78E-17  2.74E-15  1.43E-17  1.27E-16  4.82E-21  1.40E-18
  3.00E+03  6.23E-15  2.42E-16  1.17E-15  1.13E-16  4.58E-15  2.44E-17  2.10E-16  8.23E-21  2.09E-18
  2.50E+03  1.14E-14  4.54E-16  2.18E-15  2.08E-16  8.35E-15  4.51E-17  3.81E-16  1.53E-20  3.03E-18
  2.10E+03  2.03E-14  8.31E-16  3.93E-15  3.70E-16  1.48E-14  7.92E-17  6.68E-16  2.73E-20  3.96E-18
  1.50E+03  5.98E-14  2.61E-15  1.18E-14  1.09E-15  4.33E-14  2.49E-16  1.87E-15  8.03E-20  5.49E-18
  1.38E+03  7.75E-14  3.44E-15  1.54E-14  1.42E-15  5.60E-14  3.28E-16  2.39E-15  1.04E-19  5.76E-18
  1.32E+03  8.95E-14  4.01E-15  1.78E-14  1.64E-15  6.46E-14  3.82E-16  2.73E-15  1.21E-19  5.89E-18
  1.15E+03  1.37E-13  6.36E-15  2.73E-14  2.51E-15  9.86E-14  5.99E-16  4.04E-15  1.88E-19  6.20E-18
  1.00E+03  2.09E-13  1.01E-14  4.17E-14  3.83E-15  1.50E-13  9.33E-16  5.91E-15  2.95E-19  6.36E-18
  9.97E+02  2.10E-13  1.02E-14  4.21E-14  3.87E-15  1.51E-13  9.42E-16  5.96E-15  2.98E-19  6.47E-18
  8.67E+02  3.14E-13  1.59E-14  6.34E-14  5.79E-15  2.25E-13  1.46E-15  8.62E-15  4.72E-19  1.34E-17
  8.50E+02  3.33E-13  1.69E-14  6.71E-14  6.14E-15  2.38E-13  1.55E-15  9.07E-15  5.04E-19  1.48E-17
  7.50E+02  4.79E-13  2.57E-14  9.51E-14  8.88E-15  3.44E-13  2.23E-15  1.23E-14  7.66E-19  2.55E-17
  6.00E+02  8.48E-13  5.04E-14  1.69E-13  1.58E-14  6.03E-13  4.15E-15  2.08E-14  1.62E-18  5.56E-17
  5.50E+02  1.04E-12  6.46E-14  2.02E-13  1.94E-14  7.41E-13  5.22E-15  2.53E-14  2.17E-18  7.13E-17
  5.00E+02  1.32E-12  8.50E-14  2.64E-13  2.47E-14  9.29E-13  6.61E-15  3.12E-14  2.97E-18  9.06E-17
  4.50E+02  1.71E-12  1.16E-13  3.64E-13  3.22E-14  1.18E-12  8.55E-15  3.91E-14  4.17E-18  1.14E-16
  4.00E+02  2.23E-12  1.63E-13  4.96E-13  4.22E-14  1.51E-12  1.12E-14  4.99E-14  6.03E-18  1.42E-16
