 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   1.731E-09   7.728E-09   2.880E-08   1.569E-06
   9.000E-01   2.028E-09   9.123E-09   3.352E-08   1.839E-06
   8.000E-01   2.423E-09   1.099E-08   3.972E-08   2.197E-06
   7.000E-01   2.967E-09   1.358E-08   4.819E-08   2.686E-06
   6.000E-01   3.756E-09   1.735E-08   6.031E-08   3.395E-06
   5.500E-01   4.294E-09   1.993E-08   6.850E-08   3.877E-06
   5.000E-01   4.975E-09   2.321E-08   7.876E-08   4.482E-06
   4.500E-01   5.859E-09   2.747E-08   9.199E-08   5.271E-06
   4.000E-01   7.043E-09   3.319E-08   1.095E-07   6.314E-06
   3.500E-01   8.690E-09   4.115E-08   1.336E-07   7.770E-06
   3.000E-01   1.110E-08   5.278E-08   1.682E-07   9.858E-06
   2.500E-01   1.487E-08   7.093E-08   2.215E-07   1.311E-05
   2.098E-01   1.975E-08   9.429E-08   2.892E-07   1.726E-05
   1.500E-01   3.435E-08   1.632E-07   4.855E-07   2.943E-05
   1.382E-01   3.940E-08   1.866E-07   5.519E-07   3.358E-05
   1.320E-01   4.257E-08   2.012E-07   5.932E-07   3.616E-05
   1.150E-01   5.377E-08   2.525E-07   7.377E-07   4.520E-05
   1.000E-01   6.839E-08   3.175E-07   9.226E-07   5.674E-05
   9.970E-02   6.875E-08   3.191E-07   9.271E-07   5.702E-05
   8.670E-02   8.657E-08   4.025E-07   1.151E-06   7.139E-05
   8.500E-02   8.967E-08   4.160E-07   1.191E-06   7.382E-05
   7.500E-02   1.138E-07   5.117E-07   1.487E-06   9.170E-05
   6.000E-02   1.674E-07   7.394E-07   2.107E-06   1.315E-04
   5.500E-02   1.939E-07   8.291E-07   2.429E-06   1.506E-04
   5.000E-02   2.308E-07   1.029E-06   2.876E-06   1.809E-04
   4.500E-02   2.844E-07   1.365E-06   3.506E-06   2.265E-04
   4.000E-02   3.653E-07   1.828E-06   4.394E-06   2.906E-04
   3.500E-02   4.580E-07   2.787E-06   5.381E-06   3.882E-04
   3.000E-02   6.465E-07   4.352E-06   7.336E-06   5.609E-04
   2.750E-02   7.716E-07   5.477E-06   8.526E-06   6.786E-04
   2.500E-02   9.290E-07   6.971E-06   1.014E-05   8.366E-04
   2.400E-02   1.020E-06   7.714E-06   1.087E-05   9.131E-04
   2.000E-02   1.493E-06   1.195E-05   1.514E-05   1.351E-03
   1.800E-02   1.860E-06   1.475E-05   1.848E-05   1.670E-03
   1.600E-02   2.474E-06   1.823E-05   2.308E-05   2.099E-03
   1.500E-02   2.951E-06   2.037E-05   2.605E-05   2.375E-03
   1.400E-02   3.357E-06   2.276E-05   2.880E-05   2.667E-03
