 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   1.952E-09   7.651E-09   2.483E-08   1.444E-06
   9.000E-01   2.287E-09   9.033E-09   2.889E-08   1.693E-06
   8.000E-01   2.732E-09   1.088E-08   3.425E-08   2.024E-06
   7.000E-01   3.346E-09   1.344E-08   4.154E-08   2.476E-06
   6.000E-01   4.235E-09   1.718E-08   5.199E-08   3.132E-06
   5.500E-01   4.841E-09   1.973E-08   5.905E-08   3.578E-06
   5.000E-01   5.609E-09   2.298E-08   6.790E-08   4.139E-06
   4.500E-01   6.606E-09   2.720E-08   7.930E-08   4.870E-06
   4.000E-01   7.941E-09   3.286E-08   9.438E-08   5.836E-06
   3.500E-01   9.798E-09   4.075E-08   1.151E-07   7.185E-06
   3.000E-01   1.251E-08   5.226E-08   1.450E-07   9.122E-06
   2.500E-01   1.676E-08   7.023E-08   1.909E-07   1.214E-05
   2.098E-01   2.227E-08   9.336E-08   2.493E-07   1.599E-05
   1.500E-01   3.873E-08   1.616E-07   4.185E-07   2.729E-05
   1.382E-01   4.443E-08   1.847E-07   4.758E-07   3.116E-05
   1.320E-01   4.799E-08   1.992E-07   5.114E-07   3.355E-05
   1.150E-01   6.063E-08   2.500E-07   6.359E-07   4.196E-05
   1.000E-01   7.711E-08   3.143E-07   7.953E-07   5.268E-05
   9.970E-02   7.752E-08   3.159E-07   7.992E-07   5.294E-05
   8.670E-02   9.761E-08   3.985E-07   9.926E-07   6.631E-05
   8.500E-02   1.011E-07   4.119E-07   1.027E-06   6.857E-05
   7.500E-02   1.283E-07   5.066E-07   1.282E-06   8.514E-05
   6.000E-02   1.887E-07   7.321E-07   1.816E-06   1.222E-04
   5.500E-02   2.186E-07   8.209E-07   2.094E-06   1.399E-04
   5.000E-02   2.602E-07   1.019E-06   2.479E-06   1.682E-04
   4.500E-02   3.206E-07   1.352E-06   3.022E-06   2.110E-04
   4.000E-02   4.119E-07   1.810E-06   3.787E-06   2.710E-04
   3.500E-02   5.164E-07   2.760E-06   4.638E-06   3.639E-04
   3.000E-02   7.289E-07   4.309E-06   6.322E-06   5.274E-04
   2.750E-02   8.700E-07   5.423E-06   7.347E-06   6.395E-04
   2.500E-02   1.047E-06   6.902E-06   8.740E-06   7.897E-04
   2.400E-02   1.151E-06   7.638E-06   9.368E-06   8.627E-04
   2.000E-02   1.684E-06   1.183E-05   1.305E-05   1.280E-03
   1.800E-02   2.098E-06   1.461E-05   1.592E-05   1.583E-03
   1.600E-02   2.789E-06   1.805E-05   1.988E-05   1.991E-03
   1.500E-02   3.327E-06   2.017E-05   2.243E-05   2.253E-03
   1.400E-02   3.785E-06   2.253E-05   2.480E-05   2.531E-03
   1.200E-02   5.787E-06   2.840E-05   3.286E-05   3.355E-03
   1.000E-02   8.795E-06   3.692E-05   4.401E-05   4.586E-03
   9.000E-03   1.173E-05   4.171E-05   5.292E-05   5.479E-03
   8.000E-03   1.557E-05   4.818E-05   6.143E-05   6.570E-03
   7.500E-03   1.823E-05   5.320E-05   6.905E-05   7.399E-03
   7.000E-03   2.203E-05   5.947E-05   7.660E-05   8.410E-03
   6.000E-03   3.166E-05   7.572E-05   9.625E-05   1.111E-02
   5.000E-03   4.501E-05   1.063E-04   1.239E-04   1.569E-02
   4.500E-03   5.521E-05   1.282E-04   1.440E-04   1.927E-02
   4.000E-03   6.505E-05   1.546E-04   1.679E-04   2.405E-02
   3.500E-03   7.763E-05   1.828E-04   2.013E-04   3.027E-02
   3.000E-03   9.346E-05   2.079E-04   2.484E-04   3.853E-02
   2.750E-03   1.004E-04   2.162E-04   2.773E-04   4.336E-02
   2.500E-03   1.056E-04   2.220E-04   3.107E-04   4.911E-02
   2.400E-03   1.084E-04   2.235E-04   3.260E-04   5.178E-02
   2.350E-03   1.102E-04   2.245E-04   3.345E-04   5.331E-02
   2.320E-03   1.110E-04   2.251E-04   3.391E-04   5.425E-02
   2.310E-03   1.113E-04   2.254E-04   3.407E-04   5.458E-02
   2.300E-03   1.116E-04   2.255E-04   3.422E-04   5.489E-02
   2.250E-03   1.127E-04   2.269E-04   3.510E-04   5.665E-02
   2.200E-03   1.137E-04   2.282E-04   3.595E-04   5.859E-02
   2.150E-03   1.152E-04   2.292E-04   3.675E-04   6.062E-02
   2.120E-03   1.161E-04   2.288E-04   3.726E-04   6.191E-02
   2.110E-03   1.163E-04   2.287E-04   3.742E-04   6.234E-02
   2.100E-03   1.165E-04   2.284E-04   3.756E-04   6.279E-02
   2.080E-03   1.165E-04   2.273E-04   3.779E-04   6.359E-02
   2.000E-03   1.169E-04   2.223E-04   3.893E-04   6.707E-02
   1.950E-03   1.179E-04   2.157E-04   3.926E-04   6.925E-02
   1.900E-03   1.196E-04   2.064E-04   3.927E-04   7.095E-02
   1.850E-03   1.213E-04   1.940E-04   3.871E-04   7.184E-02
   1.830E-03   1.222E-04   1.882E-04   3.834E-04   7.199E-02
   1.820E-03   1.223E-04   1.850E-04   3.810E-04   7.196E-02
   1.810E-03   1.226E-04   1.818E-04   3.787E-04   7.184E-02
   1.800E-03   1.229E-04   1.786E-04   3.764E-04   7.173E-02
   1.750E-03   1.247E-04   1.599E-04   3.630E-04   7.040E-02
   1.700E-03   1.251E-04   1.394E-04   3.472E-04   6.759E-02
   1.670E-03   1.266E-04   1.269E-04   3.397E-04   6.550E-02
   1.650E-03   1.280E-04   1.187E-04   3.350E-04   6.389E-02
   1.640E-03   1.284E-04   1.147E-04   3.322E-04   6.303E-02
   1.630E-03   1.289E-04   1.106E-04   3.296E-04   6.212E-02
   1.610E-03   1.297E-04   1.028E-04   3.250E-04   6.021E-02
   1.600E-03   1.301E-04   9.906E-05   3.229E-04   5.921E-02
   1.590E-03   1.306E-04   9.543E-05   3.208E-04   5.822E-02
   1.580E-03   1.310E-04   9.202E-05   3.190E-04   5.723E-02
   1.570E-03   1.310E-04   8.877E-05   3.169E-04   5.620E-02
   1.560E-03   1.316E-04   8.591E-05   3.156E-04   5.527E-02
   1.540E-03   1.330E-04   8.123E-05   3.133E-04   5.360E-02
   1.520E-03   1.333E-04   7.821E-05   3.105E-04   5.210E-02
   1.510E-03   1.334E-04   7.740E-05   3.092E-04   5.147E-02
   1.500E-03   1.333E-04   7.696E-05   3.081E-04   5.092E-02
   1.450E-03   1.343E-04   7.894E-05   3.091E-04   4.924E-02
   1.440E-03   1.347E-04   7.984E-05   3.102E-04   4.911E-02
   1.430E-03   1.351E-04   8.057E-05   3.131E-04   4.915E-02
   1.420E-03   1.354E-04   8.128E-05   3.161E-04   4.918E-02
   1.400E-03   1.363E-04   8.293E-05   3.251E-04   4.965E-02
   1.380E-03   1.371E-04   8.447E-05   3.370E-04   5.050E-02
   1.370E-03   1.374E-04   8.533E-05   3.449E-04   5.120E-02
   1.360E-03   1.380E-04   8.619E-05   3.537E-04   5.201E-02
   1.350E-03   1.387E-04   8.729E-05   3.627E-04   5.286E-02
   1.340E-03   1.393E-04   8.836E-05   3.722E-04   5.385E-02
   1.330E-03   1.397E-04   8.972E-05   3.816E-04   5.490E-02
   1.320E-03   1.403E-04   9.114E-05   3.915E-04   5.598E-02
   1.310E-03   1.405E-04   9.280E-05   4.012E-04   5.715E-02
   1.290E-03   1.402E-04   9.680E-05   4.210E-04   5.958E-02
   1.280E-03   1.402E-04   9.893E-05   4.324E-04   6.104E-02
   1.270E-03   1.406E-04   1.007E-04   4.445E-04   6.249E-02
   1.260E-03   1.408E-04   1.033E-04   4.562E-04   6.397E-02
   1.250E-03   1.409E-04   1.067E-04   4.675E-04   6.553E-02
   1.220E-03   1.432E-04   1.276E-04   5.051E-04   7.157E-02
   1.210E-03   1.434E-04   1.414E-04   5.173E-04   7.443E-02
   1.200E-03   1.434E-04   1.578E-04   5.300E-04   7.766E-02
   1.190E-03   1.445E-04   1.751E-04   5.438E-04   8.118E-02
   1.180E-03   1.451E-04   1.915E-04   5.551E-04   8.470E-02
   1.170E-03   1.455E-04   2.058E-04   5.663E-04   8.818E-02
   1.160E-03   1.461E-04   2.177E-04   5.760E-04   9.142E-02
   1.150E-03   1.461E-04   2.271E-04   5.848E-04   9.475E-02
   1.140E-03   1.460E-04   2.349E-04   5.942E-04   9.767E-02
   1.130E-03   1.460E-04   2.411E-04   6.042E-04   1.007E-01
   1.120E-03   1.460E-04   2.466E-04   6.132E-04   1.036E-01
   1.110E-03   1.460E-04   2.517E-04   6.217E-04   1.066E-01
   1.090E-03   1.463E-04   2.607E-04   6.364E-04   1.126E-01
   1.050E-03   1.484E-04   2.711E-04   6.564E-04   1.271E-01
   1.000E-03   1.521E-04   2.682E-04   6.035E-04   1.398E-01
   9.800E-04   1.538E-04   2.579E-04   5.788E-04   1.441E-01
   9.600E-04   1.553E-04   2.406E-04   5.407E-04   1.472E-01
   9.500E-04   1.566E-04   2.299E-04   5.131E-04   1.476E-01
   9.400E-04   1.567E-04   2.185E-04   4.797E-04   1.466E-01
   9.200E-04   1.577E-04   1.958E-04   4.068E-04   1.396E-01
   8.900E-04   1.601E-04   1.612E-04   3.225E-04   1.210E-01
   8.700E-04   1.597E-04   1.418E-04   2.901E-04   1.086E-01
   8.600E-04   1.608E-04   1.332E-04   2.801E-04   1.036E-01
   8.500E-04   1.608E-04   1.244E-04   2.701E-04   9.873E-02
   8.400E-04   1.621E-04   1.150E-04   2.600E-04   9.373E-02
   8.200E-04   1.616E-04   9.572E-05   2.359E-04   8.141E-02
   8.000E-04   1.624E-04   7.963E-05   2.188E-04   6.881E-02
   7.900E-04   1.635E-04   7.383E-05   2.184E-04   6.462E-02
   7.800E-04   1.631E-04   6.912E-05   2.162E-04   6.053E-02
   7.700E-04   1.626E-04   6.506E-05   2.165E-04   5.734E-02
   7.600E-04   1.622E-04   6.150E-05   2.194E-04   5.507E-02
   7.500E-04   1.618E-04   5.830E-05   2.226E-04   5.307E-02
   7.300E-04   1.628E-04   5.341E-05   2.363E-04   5.164E-02
   7.200E-04   1.624E-04   5.205E-05   2.423E-04   5.149E-02
   7.100E-04   1.621E-04   5.131E-05   2.494E-04   5.152E-02
   7.000E-04   1.632E-04   5.044E-05   2.573E-04   5.197E-02
   6.900E-04   1.625E-04   4.887E-05   2.628E-04   5.209E-02
   6.800E-04   1.592E-04   4.670E-05   2.667E-04   5.170E-02
   6.600E-04   1.607E-04   4.285E-05   2.846E-04   5.233E-02
   6.400E-04   1.653E-04   3.782E-05   3.046E-04   5.352E-02
   6.300E-04   1.678E-04   3.572E-05   3.134E-04   5.429E-02
   6.200E-04   1.676E-04   3.551E-05   3.200E-04   5.495E-02
   6.100E-04   1.687E-04   3.554E-05   3.284E-04   5.582E-02
   5.900E-04   1.740E-04   2.966E-05   3.480E-04   5.742E-02
   5.500E-04   1.626E-04   2.306E-05   3.689E-04   5.825E-02
   5.300E-04   1.642E-04   2.111E-05   3.927E-04   6.053E-02
   5.200E-04   1.642E-04   2.012E-05   4.040E-04   6.168E-02
   5.100E-04   1.658E-04   1.911E-05   4.176E-04   6.319E-02
   5.000E-04   1.673E-04   1.813E-05   4.309E-04   6.476E-02
   4.800E-04   1.688E-04   1.667E-05   4.568E-04   6.803E-02
   4.500E-04   1.727E-04   1.503E-05   4.980E-04   7.421E-02
   4.000E-04   1.782E-04   1.352E-05   5.756E-04   8.725E-02
   3.800E-04   1.819E-04   1.345E-05   6.095E-04   9.384E-02
   3.600E-04   1.862E-04   1.380E-05   6.455E-04   1.013E-01
   3.400E-04   1.944E-04   1.473E-05   6.816E-04   1.098E-01
   3.300E-04   1.935E-04   1.546E-05   6.982E-04   1.138E-01
   3.200E-04   1.950E-04   1.638E-05   7.200E-04   1.185E-01
   3.150E-04   1.972E-04   1.696E-05   7.314E-04   1.211E-01
   3.100E-04   1.994E-04   1.760E-05   7.418E-04   1.238E-01
   3.080E-04   2.000E-04   1.787E-05   7.457E-04   1.249E-01
   3.050E-04   2.009E-04   1.831E-05   7.516E-04   1.265E-01
   3.000E-04   2.025E-04   1.913E-05   7.619E-04   1.293E-01
   2.900E-04   2.072E-04   2.104E-05   7.813E-04   1.353E-01
   2.800E-04   2.093E-04   2.344E-05   7.999E-04   1.414E-01
   2.600E-04   2.187E-04   3.015E-05   8.431E-04   1.555E-01
   2.500E-04   2.259E-04   3.483E-05   8.667E-04   1.634E-01
   2.200E-04   2.576E-04   5.776E-05   9.286E-04   1.907E-01
   2.159E-04   2.620E-04   6.242E-05   9.353E-04   1.947E-01
   2.000E-04   2.879E-04   8.608E-05   9.641E-04   2.121E-01
   1.662E-04   3.697E-04   1.902E-04   9.927E-04   2.563E-01
   1.650E-04   3.737E-04   1.962E-04   9.928E-04   2.581E-01
   1.250E-04   5.917E-04   6.042E-04   9.225E-04   3.437E-01
   1.235E-04   6.038E-04   6.315E-04   9.156E-04   3.484E-01
   1.130E-04   6.963E-04   8.593E-04   8.632E-04   3.868E-01
   1.000E-04   8.338E-04   1.250E-03   7.706E-04   4.541E-01
   9.500E-05   8.888E-04   1.443E-03   7.266E-04   4.885E-01
   9.300E-05   9.106E-04   1.528E-03   7.082E-04   5.040E-01
   9.200E-05   9.215E-04   1.573E-03   6.989E-04   5.122E-01
   9.100E-05   9.324E-04   1.618E-03   6.897E-04   5.206E-01
   9.000E-05   9.434E-04   1.665E-03   6.806E-04   5.294E-01
   8.900E-05   9.545E-04   1.713E-03   6.714E-04   5.385E-01
   8.800E-05   9.658E-04   1.762E-03   6.622E-04   5.479E-01
   8.700E-05   9.773E-04   1.812E-03   6.528E-04   5.577E-01
   8.600E-05   9.892E-04   1.863E-03   6.436E-04   5.679E-01
   8.500E-05   1.001E-03   1.915E-03   6.343E-04   5.785E-01
   8.400E-05   1.014E-03   1.968E-03   6.251E-04   5.894E-01
   8.330E-05   1.024E-03   2.005E-03   6.187E-04   5.973E-01
   8.200E-05   1.041E-03   2.074E-03   6.068E-04   6.126E-01
   8.100E-05   1.056E-03   2.128E-03   5.975E-04   6.247E-01
   8.000E-05   1.071E-03   2.183E-03   5.879E-04   6.373E-01
   7.900E-05   1.086E-03   2.239E-03   5.779E-04   6.503E-01
   7.800E-05   1.101E-03   2.295E-03   5.676E-04   6.638E-01
   7.700E-05   1.117E-03   2.353E-03   5.570E-04   6.776E-01
   7.600E-05   1.132E-03   2.412E-03   5.459E-04   6.918E-01
   7.500E-05   1.148E-03   2.473E-03   5.344E-04   7.065E-01
   7.400E-05   1.163E-03   2.536E-03   5.225E-04   7.215E-01
   7.300E-05   1.178E-03   2.601E-03   5.102E-04   7.370E-01
   7.140E-05   1.202E-03   2.711E-03   4.896E-04   7.627E-01
   7.100E-05   1.208E-03   2.740E-03   4.844E-04   7.693E-01
