 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.00E+04  1.04E-16  2.15E-18  1.24E-19  3.31E-19  1.69E-18
  9.00E+03  1.50E-16  3.08E-18  1.78E-19  4.80E-19  2.42E-18
  8.00E+03  2.24E-16  4.59E-18  2.67E-19  7.25E-19  3.60E-18
  7.00E+03  3.53E-16  7.23E-18  4.25E-19  1.16E-18  5.65E-18
  6.00E+03  5.96E-16  1.22E-17  7.25E-19  1.99E-18  9.50E-18
  5.50E+03  8.02E-16  1.64E-17  9.80E-19  2.69E-18  1.27E-17
  5.00E+03  1.11E-15  2.27E-17  1.36E-18  3.75E-18  1.75E-17
  4.50E+03  1.58E-15  3.24E-17  1.96E-18  5.41E-18  2.50E-17
  4.00E+03  2.36E-15  4.82E-17  2.96E-18  8.14E-18  3.71E-17
  3.50E+03  3.69E-15  7.55E-17  4.69E-18  1.29E-17  5.79E-17
  3.00E+03  6.19E-15  1.27E-16  8.00E-18  2.19E-17  9.67E-17
  2.50E+03  1.13E-14  2.32E-16  1.50E-17  4.07E-17  1.77E-16
  2.10E+03  2.02E-14  4.14E-16  2.74E-17  7.32E-17  3.13E-16
  1.50E+03  5.96E-14  1.23E-15  8.61E-17  2.20E-16  9.21E-16
  1.38E+03  7.73E-14  1.59E-15  1.13E-16  2.86E-16  1.19E-15
  1.32E+03  8.92E-14  1.84E-15  1.32E-16  3.30E-16  1.38E-15
  1.15E+03  1.37E-13  2.83E-15  2.10E-16  5.08E-16  2.11E-15
  1.00E+03  2.08E-13  4.33E-15  3.33E-16  7.74E-16  3.22E-15
  9.97E+02  2.10E-13  4.37E-15  3.36E-16  7.81E-16  3.25E-15
  8.67E+02  3.14E-13  6.55E-15  5.23E-16  1.18E-15  4.86E-15
  8.50E+02  3.33E-13  6.95E-15  5.58E-16  1.24E-15  5.15E-15
  7.50E+02  4.80E-13  1.01E-14  8.46E-16  1.76E-15  7.47E-15
  6.00E+02  8.52E-13  1.80E-14  1.66E-15  3.13E-15  1.33E-14
  5.50E+02  1.04E-12  2.23E-14  2.13E-15  3.74E-15  1.64E-14
  5.00E+02  1.33E-12  2.84E-14  2.80E-15  4.89E-15  2.07E-14
  4.50E+02  1.73E-12  3.72E-14  3.81E-15  6.76E-15  2.66E-14
  4.00E+02  2.26E-12  4.91E-14  5.38E-15  9.21E-15  3.45E-14
  3.50E+02  2.91E-12  6.32E-14  7.29E-15  1.37E-14  4.22E-14
  3.00E+02  3.88E-12  8.46E-14  1.08E-14  1.96E-14  5.42E-14
  2.75E+02  4.32E-12  9.46E-14  1.30E-14  2.27E-14  5.89E-14
  2.50E+02  4.74E-12  1.04E-13  1.54E-14  2.55E-14  6.31E-14
  2.40E+02  4.88E-12  1.07E-13  1.66E-14  2.65E-14  6.40E-14
  2.00E+02  5.14E-12  1.13E-13  2.14E-14  2.80E-14  6.35E-14
  1.80E+02  4.92E-12  1.08E-13  2.34E-14  2.56E-14  5.91E-14
  1.60E+02  4.42E-12  9.70E-14  2.54E-14  2.10E-14  5.06E-14
  1.50E+02  4.07E-12  8.92E-14  2.64E-14  1.81E-14  4.47E-14
  1.40E+02  3.55E-12  7.70E-14  2.53E-14  1.48E-14  3.68E-14
  1.20E+02  2.59E-12  5.44E-14  2.40E-14  8.16E-15  2.22E-14
  1.00E+02  1.58E-12  2.89E-14  1.69E-14  3.07E-15  8.99E-15
  9.00E+01  1.20E-12  1.89E-14  1.28E-14  1.46E-15  4.64E-15
  8.00E+01  9.08E-13  1.05E-14  8.13E-15  5.55E-16  1.80E-15
  7.50E+01  8.05E-13  7.33E-15  5.99E-15  3.10E-16  1.03E-15
  7.00E+01  7.31E-13  4.89E-15  4.21E-15  1.58E-16  5.22E-16
  6.00E+01  6.41E-13  1.59E-15  1.48E-15  2.70E-17  8.78E-17
  5.00E+01  6.16E-13  2.73E-16  2.64E-16  2.14E-18  6.19E-18
  4.50E+01  6.15E-13  7.92E-17  7.78E-17  3.70E-19  9.94E-19
  4.00E+01  6.08E-13  1.50E-17  1.48E-17  3.82E-20  9.43E-20
  3.50E+01  5.59E-13  1.62E-18  1.62E-18  1.86E-21  4.30E-21
  3.00E+01  4.10E-13  7.51E-20  7.50E-20  2.88E-23  6.43E-23
  2.75E+01  3.11E-13  9.86E-21  9.86E-21  1.90E-24  4.22E-24
  2.50E+01  2.24E-13  8.13E-22  8.13E-22  7.03E-26  1.55E-25
  2.40E+01  1.96E-13  2.58E-22  2.58E-22  1.54E-26  3.37E-26
  2.35E+01  1.83E-13  1.40E-22  1.40E-22  6.83E-27  1.50E-26
  2.32E+01  1.76E-13  9.58E-23  9.58E-23  4.13E-27  9.01E-27
