 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt
 # --------------------------------------------------------------------------------------------------------------
 1.000E+00 1.46E-07 6.12E-17 3.39E-07 4.94E-17 6.09E-09 4.27E-23 1.41E-07 1.77E-22 8.22E-12 1.48E-07 3.50E-16 7.812E-07
 2.159E-04 4.19E-02 5.03E-03 2.83E-04 4.83E-03 4.91E-03 1.37E-08 6.46E-03 1.91E-08 9.58E-05 8.29E-03 1.39E-02 8.574E-02
 1.662E-04 5.14E-02 1.34E-02 2.02E-04 1.38E-02 7.33E-03 3.82E-08 7.93E-03 5.48E-08 1.85E-04 1.06E-02 2.49E-02 1.297E-01
 1.235E-04 6.98E-02 3.75E-02 1.82E-04 4.18E-02 1.16E-02 1.22E-07 1.02E-02 1.80E-07 4.18E-04 1.38E-02 3.90E-02 2.243E-01
 5.477E-05 2.27E-01 2.04E-01 6.74E-04 4.64E-01 4.09E-02 2.90E-06 2.20E-02 4.71E-06 4.55E-03 2.45E-02 3.39E-02 1.021E+00
 4.440E-05 2.99E-01 2.21E-01 1.26E-03 6.94E-01 5.80E-02 6.81E-06 2.68E-02 1.11E-05 8.46E-03 2.59E-02 2.77E-02 1.363E+00
 3.656E-05 3.59E-01 2.29E-01 4.32E-03 9.17E-01 8.28E-02 1.53E-05 3.20E-02 2.48E-05 1.72E-02 2.58E-02 2.47E-02 1.692E+00
 2.780E-05 4.23E-01 2.34E-01 1.60E-02 1.15E+00 1.55E-01 5.91E-05 4.01E-02 7.95E-05 8.63E-02 2.46E-02 2.36E-02 2.156E+00
 2.630E-05 4.32E-01 2.34E-01 1.90E-02 1.19E+00 1.89E-01 8.40E-05 4.16E-02 1.02E-04 1.47E-01 2.44E-02 2.35E-02 2.299E+00
 2.500E-05 4.38E-01 2.35E-01 2.25E-02 1.22E+00 2.36E-01 1.22E-04 4.30E-02 1.28E-04 2.67E-01 2.41E-02 2.35E-02 2.511E+00
 2.380E-05 4.45E-01 2.37E-01 2.70E-02 1.26E+00 3.26E-01 1.87E-04 4.32E-02 1.60E-04 5.06E-01 2.39E-02 2.35E-02 2.887E+00
 2.270E-05 4.49E-01 2.37E-01 3.29E-02 1.29E+00 4.70E-01 2.74E-04 4.48E-02 2.01E-04 7.07E-01 2.37E-02 2.35E-02 3.284E+00
 2.170E-05 4.52E-01 2.37E-01 4.11E-02 1.34E+00 6.37E-01 3.56E-04 5.04E-02 2.52E-04 5.21E-01 2.34E-02 2.36E-02 3.325E+00
 2.080E-05 4.56E-01 2.38E-01 5.60E-02 1.39E+00 6.60E-01 3.30E-04 6.30E-02 3.13E-04 3.03E-01 2.32E-02 2.36E-02 3.209E+00
 2.000E-05 4.57E-01 2.38E-01 1.97E-01 1.30E+00 5.73E-01 2.58E-04 8.01E-02 3.84E-04 1.88E-01 2.30E-02 2.37E-02 3.081E+00
 1.920E-05 4.57E-01 2.40E-01 3.78E-01 1.17E+00 4.45E-01 1.77E-04 1.10E-01 4.77E-04 1.24E-01 2.28E-02 2.37E-02 2.969E+00
 1.850E-05 4.60E-01 2.44E-01 4.94E-01 1.10E+00 3.48E-01 1.25E-04 1.48E-01 5.84E-04 9.08E-02 2.25E-02 2.37E-02 2.930E+00
 1.790E-05 4.64E-01 2.47E-01 6.42E-01 9.90E-01 2.83E-01 9.59E-05 1.88E-01 6.99E-04 7.23E-02 2.23E-02 2.38E-02 2.934E+00
 1.720E-05 4.68E-01 2.50E-01 7.62E-01 9.14E-01 2.27E-01 7.62E-05 2.61E-01 8.76E-04 5.78E-02 2.21E-02 2.38E-02 2.988E+00
 1.670E-05 4.72E-01 2.53E-01 8.25E-01 8.80E-01 1.94E-01 6.94E-05 3.29E-01 1.04E-03 5.08E-02 2.19E-02 2.38E-02 3.051E+00
 1.610E-05 4.77E-01 2.57E-01 8.90E-01 8.50E-01 1.64E-01 7.06E-05 4.48E-01 1.28E-03 4.49E-02 2.16E-02 2.39E-02 3.178E+00
 1.560E-05 4.82E-01 2.60E-01 9.38E-01 8.31E-01 1.44E-01 7.96E-05 5.85E-01 1.53E-03 4.18E-02 2.14E-02 2.39E-02 3.328E+00
