 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.00E+04  7.87E-17  2.17E-18  3.04E-19  1.14E-19  1.75E-18
  9.00E+03  1.13E-16  3.10E-18  4.37E-19  1.66E-19  2.50E-18
  8.00E+03  1.70E-16  4.63E-18  6.58E-19  2.50E-19  3.72E-18
  7.00E+03  2.68E-16  7.29E-18  1.04E-18  3.99E-19  5.84E-18
  6.00E+03  4.55E-16  1.23E-17  1.78E-18  6.84E-19  9.83E-18
  5.50E+03  6.13E-16  1.65E-17  2.41E-18  9.26E-19  1.32E-17
  5.00E+03  8.49E-16  2.28E-17  3.35E-18  1.29E-18  1.82E-17
  4.50E+03  1.22E-15  3.26E-17  4.83E-18  1.86E-18  2.59E-17
  4.00E+03  1.82E-15  4.84E-17  7.27E-18  2.79E-18  3.84E-17
  3.50E+03  2.86E-15  7.59E-17  1.15E-17  4.41E-18  6.00E-17
  3.00E+03  4.81E-15  1.27E-16  1.97E-17  7.47E-18  1.00E-16
  2.50E+03  8.88E-15  2.34E-16  3.69E-17  1.38E-17  1.83E-16
  2.10E+03  1.59E-14  4.17E-16  6.74E-17  2.48E-17  3.25E-16
  1.50E+03  4.76E-14  1.24E-15  2.12E-16  7.37E-17  9.57E-16
  1.38E+03  6.19E-14  1.61E-15  2.79E-16  9.53E-17  1.24E-15
  1.32E+03  7.16E-14  1.87E-15  3.25E-16  1.10E-16  1.43E-15
  1.15E+03  1.10E-13  2.88E-15  5.16E-16  1.68E-16  2.20E-15
  1.00E+03  1.70E-13  4.43E-15  8.18E-16  2.54E-16  3.36E-15
  9.97E+02  1.71E-13  4.47E-15  8.26E-16  2.56E-16  3.39E-15
  8.67E+02  2.59E-13  6.74E-15  1.29E-15  3.81E-16  5.07E-15
  8.50E+02  2.75E-13  7.15E-15  1.37E-15  4.03E-16  5.38E-15
  7.50E+02  4.00E-13  1.05E-14  2.08E-15  5.64E-16  7.82E-15
  6.00E+02  7.28E-13  1.90E-14  4.08E-15  9.77E-16  1.39E-14
  5.50E+02  9.00E-13  2.36E-14  5.23E-15  1.15E-15  1.73E-14
  5.00E+02  1.16E-12  3.02E-14  6.88E-15  1.49E-15  2.18E-14
  4.50E+02  1.54E-12  3.95E-14  9.36E-15  2.01E-15  2.82E-14
  4.00E+02  2.08E-12  5.25E-14  1.32E-14  2.67E-15  3.66E-14
  3.50E+02  2.79E-12  6.68E-14  1.79E-14  3.85E-15  4.51E-14
  3.00E+02  3.90E-12  9.00E-14  2.65E-14  5.24E-15  5.82E-14
  2.75E+02  4.49E-12  1.01E-13  3.18E-14  5.86E-15  6.36E-14
  2.50E+02  5.09E-12  1.12E-13  3.77E-14  6.32E-15  6.85E-14
  2.40E+02  5.34E-12  1.17E-13  4.08E-14  6.43E-15  6.96E-14
  2.00E+02  6.09E-12  1.28E-13  5.23E-14  6.16E-15  6.99E-14
  1.80E+02  6.13E-12  1.28E-13  5.72E-14  5.26E-15  6.56E-14
  1.60E+02  5.92E-12  1.23E-13  6.21E-14  3.94E-15  5.67E-14
  1.50E+02  5.71E-12  1.18E-13  6.45E-14  3.20E-15  5.03E-14
  1.40E+02  5.21E-12  1.06E-13  6.19E-14  2.45E-15  4.18E-14
  1.20E+02  4.26E-12  8.52E-14  5.84E-14  1.14E-15  2.56E-14
  1.00E+02  2.82E-12  5.19E-14  4.10E-14  3.31E-16  1.06E-14
  9.00E+01  2.17E-12  3.69E-14  3.12E-14  1.32E-16  5.52E-15
  8.00E+01  1.55E-12  2.19E-14  1.97E-14  3.95E-17  2.17E-15
  7.50E+01  1.29E-12  1.58E-14  1.45E-14  1.91E-17  1.26E-15
  7.00E+01  1.09E-12  1.08E-14  1.02E-14  8.19E-18  6.42E-16
  6.00E+01  7.92E-13  3.66E-15  3.55E-15  9.04E-19  1.10E-16
  5.00E+01  6.61E-13  6.39E-16  6.31E-16  3.76E-20  7.97E-18
