 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.50E-07 6.36E-17 3.33E-07 4.91E-17 5.93E-09 4.20E-23 1.45E-07 1.84E-22 9.52E-12 1.23E-07 2.92E-16 7.576E-07
9.000E-01 1.76E-07 9.69E-17 3.93E-07 7.49E-17 7.56E-09 6.40E-23 1.73E-07 2.80E-22 1.17E-11 1.43E-07 4.44E-16 8.928E-07
8.000E-01 2.10E-07 1.55E-16 4.74E-07 1.20E-16 9.87E-09 1.03E-22 2.10E-07 4.48E-22 1.49E-11 1.70E-07 7.11E-16 1.074E-06
7.000E-01 2.58E-07 2.65E-16 5.85E-07 2.05E-16 1.32E-08 1.75E-22 2.59E-07 7.64E-22 1.94E-11 2.06E-07 1.21E-15 1.321E-06
6.000E-01 3.26E-07 4.90E-16 7.48E-07 3.79E-16 1.84E-08 3.24E-22 3.32E-07 1.41E-21 2.64E-11 2.59E-07 2.24E-15 1.683E-06
5.500E-01 3.73E-07 6.94E-16 8.59E-07 5.37E-16 2.20E-08 4.59E-22 3.83E-07 2.00E-21 3.15E-11 2.94E-07 3.17E-15 1.931E-06
5.000E-01 4.32E-07 1.02E-15 1.00E-06 7.86E-16 2.67E-08 6.72E-22 4.44E-07 2.93E-21 3.81E-11 3.38E-07 4.64E-15 2.241E-06
4.500E-01 5.09E-07 1.55E-15 1.18E-06 1.20E-15 3.28E-08 1.02E-21 5.29E-07 4.47E-21 4.70E-11 3.95E-07 7.06E-15 2.650E-06
4.000E-01 6.12E-07 2.48E-15 1.43E-06 1.92E-15 4.11E-08 1.64E-21 6.36E-07 7.16E-21 5.95E-11 4.70E-07 1.13E-14 3.190E-06
3.500E-01 7.55E-07 4.23E-15 1.77E-06 3.27E-15 5.27E-08 2.80E-21 7.97E-07 1.22E-20 7.77E-11 5.74E-07 1.93E-14 3.952E-06
3.000E-01 9.64E-07 7.83E-15 2.27E-06 6.07E-15 6.94E-08 5.19E-21 1.01E-06 2.26E-20 1.06E-10 7.24E-07 3.56E-14 5.044E-06
2.500E-01 1.29E-06 1.62E-14 3.06E-06 1.26E-14 9.47E-08 1.08E-20 1.36E-06 4.68E-20 1.52E-10 9.54E-07 7.37E-14 6.756E-06
2.098E-01 1.72E-06 3.27E-14 4.06E-06 2.54E-14 1.26E-07 2.17E-20 1.81E-06 9.44E-20 2.16E-10 1.25E-06 1.48E-13 8.960E-06
1.500E-01 2.99E-06 1.25E-13 7.03E-06 9.71E-14 2.40E-07 8.30E-20 3.09E-06 3.61E-19 4.23E-10 2.10E-06 5.64E-13 1.545E-05
1.382E-01 3.43E-06 1.74E-13 8.04E-06 1.35E-13 2.83E-07 1.15E-19 3.54E-06 5.00E-19 4.98E-10 2.39E-06 7.82E-13 1.768E-05
1.320E-01 3.70E-06 2.08E-13 8.67E-06 1.62E-13 3.10E-07 1.38E-19 3.82E-06 6.01E-19 5.46E-10 2.57E-06 9.39E-13 1.907E-05
1.150E-01 4.68E-06 3.62E-13 1.09E-05 2.81E-13 4.06E-07 2.40E-19 4.76E-06 1.04E-18 7.20E-10 3.19E-06 1.63E-12 2.393E-05
1.000E-01 5.95E-06 6.33E-13 1.37E-05 4.91E-13 5.34E-07 4.20E-19 5.95E-06 1.82E-18 9.52E-10 4.00E-06 2.84E-12 3.012E-05
9.970E-02 5.98E-06 6.40E-13 1.38E-05 4.97E-13 5.37E-07 4.25E-19 5.98E-06 1.85E-18 9.57E-10 4.02E-06 2.87E-12 3.028E-05
8.670E-02 7.54E-06 1.12E-12 1.73E-05 8.70E-13 7.10E-07 7.43E-19 7.50E-06 3.22E-18 1.27E-09 5.00E-06 5.02E-12 3.810E-05
8.500E-02 7.81E-06 1.21E-12 1.79E-05 9.41E-13 7.38E-07 8.04E-19 7.75E-06 3.49E-18 1.32E-09 5.17E-06 5.43E-12 3.939E-05
7.500E-02 9.91E-06 2.00E-12 2.20E-05 1.55E-12 9.38E-07 1.33E-18 9.46E-06 5.76E-18 1.69E-09 6.46E-06 8.94E-12 4.881E-05
