 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.50E-07 6.28E-17 3.35E-07 4.89E-17 5.94E-09 4.18E-23 1.43E-07 1.80E-22 7.18E-12 2.08E-07 2.30E-15 8.431E-07
9.000E-01 1.76E-07 9.56E-17 3.96E-07 7.46E-17 7.58E-09 6.37E-23 1.71E-07 2.75E-22 8.86E-12 2.42E-07 3.50E-15 9.923E-07
8.000E-01 2.10E-07 1.53E-16 4.77E-07 1.19E-16 9.89E-09 1.02E-22 2.08E-07 4.40E-22 1.12E-11 2.88E-07 5.60E-15 1.192E-06
7.000E-01 2.57E-07 2.61E-16 5.89E-07 2.04E-16 1.33E-08 1.74E-22 2.56E-07 7.50E-22 1.46E-11 3.49E-07 9.53E-15 1.464E-06
6.000E-01 3.25E-07 4.84E-16 7.53E-07 3.78E-16 1.84E-08 3.23E-22 3.29E-07 1.39E-21 1.99E-11 4.37E-07 1.76E-14 1.863E-06
5.500E-01 3.72E-07 6.85E-16 8.65E-07 5.35E-16 2.21E-08 4.57E-22 3.79E-07 1.97E-21 2.37E-11 4.97E-07 2.50E-14 2.135E-06
5.000E-01 4.31E-07 1.00E-15 1.01E-06 7.83E-16 2.67E-08 6.69E-22 4.39E-07 2.88E-21 2.87E-11 5.71E-07 3.65E-14 2.476E-06
4.500E-01 5.08E-07 1.53E-15 1.19E-06 1.19E-15 3.29E-08 1.02E-21 5.23E-07 4.39E-21 3.54E-11 6.68E-07 5.56E-14 2.924E-06
4.000E-01 6.11E-07 2.45E-15 1.44E-06 1.91E-15 4.12E-08 1.63E-21 6.29E-07 7.02E-21 4.48E-11 7.95E-07 8.89E-14 3.517E-06
3.500E-01 7.54E-07 4.17E-15 1.79E-06 3.26E-15 5.28E-08 2.79E-21 7.88E-07 1.20E-20 5.86E-11 9.71E-07 1.51E-13 4.351E-06
3.000E-01 9.63E-07 7.73E-15 2.29E-06 6.04E-15 6.96E-08 5.16E-21 9.99E-07 2.22E-20 7.97E-11 1.22E-06 2.80E-13 5.546E-06
2.500E-01 1.29E-06 1.60E-14 3.08E-06 1.25E-14 9.49E-08 1.07E-20 1.34E-06 4.59E-20 1.15E-10 1.61E-06 5.80E-13 7.418E-06
2.098E-01 1.71E-06 3.23E-14 4.09E-06 2.53E-14 1.26E-07 2.16E-20 1.79E-06 9.26E-20 1.63E-10 2.11E-06 1.17E-12 9.826E-06
1.500E-01 2.98E-06 1.23E-13 7.08E-06 9.67E-14 2.41E-07 8.26E-20 3.06E-06 3.54E-19 3.19E-10 3.55E-06 4.44E-12 1.691E-05
1.382E-01 3.42E-06 1.71E-13 8.10E-06 1.34E-13 2.84E-07 1.15E-19 3.50E-06 4.91E-19 3.76E-10 4.04E-06 6.16E-12 1.934E-05
1.320E-01 3.70E-06 2.06E-13 8.73E-06 1.61E-13 3.11E-07 1.38E-19 3.77E-06 5.90E-19 4.12E-10 4.34E-06 7.39E-12 2.085E-05
1.150E-01 4.67E-06 3.57E-13 1.10E-05 2.80E-13 4.07E-07 2.39E-19 4.71E-06 1.02E-18 5.43E-10 5.40E-06 1.28E-11 2.615E-05
1.000E-01 5.94E-06 6.24E-13 1.38E-05 4.89E-13 5.35E-07 4.18E-19 5.88E-06 1.79E-18 7.18E-10 6.77E-06 2.23E-11 3.290E-05
9.970E-02 5.97E-06 6.32E-13 1.38E-05 4.95E-13 5.38E-07 4.23E-19 5.91E-06 1.81E-18 7.22E-10 6.80E-06 2.26E-11 3.307E-05
8.670E-02 7.52E-06 1.11E-12 1.75E-05 8.66E-13 7.12E-07 7.39E-19 7.42E-06 3.16E-18 9.55E-10 8.45E-06 3.95E-11 4.158E-05
