 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   4.198E-09   6.059E-09   6.570E-09   8.431E-07
   9.000E-01   4.918E-09   7.153E-09   7.645E-09   9.923E-07
   8.000E-01   5.875E-09   8.616E-09   9.061E-09   1.192E-06
   7.000E-01   7.195E-09   1.064E-08   1.099E-08   1.464E-06
   6.000E-01   9.107E-09   1.360E-08   1.376E-08   1.863E-06
   5.500E-01   1.041E-08   1.562E-08   1.562E-08   2.135E-06
   5.000E-01   1.206E-08   1.820E-08   1.796E-08   2.476E-06
   4.500E-01   1.421E-08   2.154E-08   2.098E-08   2.924E-06
   4.000E-01   1.708E-08   2.602E-08   2.497E-08   3.517E-06
   3.500E-01   2.107E-08   3.227E-08   3.047E-08   4.351E-06
   3.000E-01   2.691E-08   4.138E-08   3.836E-08   5.546E-06
   2.500E-01   3.605E-08   5.561E-08   5.052E-08   7.418E-06
   2.098E-01   4.790E-08   7.393E-08   6.597E-08   9.826E-06
   1.500E-01   8.330E-08   1.279E-07   1.107E-07   1.691E-05
   1.382E-01   9.555E-08   1.463E-07   1.259E-07   1.934E-05
   1.320E-01   1.032E-07   1.577E-07   1.353E-07   2.085E-05
   1.150E-01   1.304E-07   1.979E-07   1.683E-07   2.615E-05
   1.000E-01   1.658E-07   2.489E-07   2.104E-07   3.290E-05
   9.970E-02   1.667E-07   2.502E-07   2.114E-07   3.307E-05
   8.670E-02   2.099E-07   3.156E-07   2.626E-07   4.158E-05
   8.500E-02   2.174E-07   3.262E-07   2.716E-07   4.299E-05
   7.500E-02   2.759E-07   4.012E-07   3.392E-07   5.331E-05
   6.000E-02   4.059E-07   5.797E-07   4.805E-07   7.710E-05
   5.500E-02   4.702E-07   6.500E-07   5.539E-07   8.812E-05
   5.000E-02   5.596E-07   8.068E-07   6.558E-07   1.065E-04
   4.500E-02   6.895E-07   1.071E-06   7.994E-07   1.347E-04
   4.000E-02   8.858E-07   1.434E-06   1.002E-06   1.746E-04
   3.500E-02   1.111E-06   2.185E-06   1.227E-06   2.409E-04
   3.000E-02   1.567E-06   3.412E-06   1.672E-06   3.551E-04
   2.750E-02   1.871E-06   4.294E-06   1.944E-06   4.358E-04
   2.500E-02   2.253E-06   5.466E-06   2.312E-06   5.432E-04
   2.400E-02   2.474E-06   6.048E-06   2.478E-06   5.967E-04
   2.000E-02   3.621E-06   9.369E-06   3.451E-06   8.986E-04
   1.800E-02   4.511E-06   1.157E-05   4.212E-06   1.115E-03
   1.600E-02   5.998E-06   1.430E-05   5.259E-06   1.411E-03
   1.500E-02   7.154E-06   1.597E-05   5.934E-06   1.604E-03
   1.400E-02   8.139E-06   1.784E-05   6.560E-06   1.812E-03
   1.200E-02   1.245E-05   2.249E-05   8.690E-06   2.433E-03
   1.000E-02   1.891E-05   2.923E-05   1.164E-05   3.379E-03
   9.000E-03   2.522E-05   3.303E-05   1.399E-05   4.081E-03
   8.000E-03   3.348E-05   3.815E-05   1.624E-05   5.000E-03
   7.500E-03   3.920E-05   4.213E-05   1.825E-05   5.660E-03
   7.000E-03   4.738E-05   4.709E-05   2.025E-05   6.524E-03
   6.000E-03   6.808E-05   5.996E-05   2.544E-05   8.821E-03
   5.000E-03   9.680E-05   8.414E-05   3.273E-05   1.271E-02
   4.500E-03   1.187E-04   1.015E-04   3.804E-05   1.577E-02
   4.000E-03   1.399E-04   1.224E-04   4.432E-05   1.977E-02
   3.500E-03   1.669E-04   1.448E-04   5.312E-05   2.490E-02
   3.000E-03   2.009E-04   1.646E-04   6.550E-05   3.181E-02
   2.750E-03   2.160E-04   1.712E-04   7.311E-05   3.580E-02
   2.500E-03   2.270E-04   1.757E-04   8.187E-05   4.041E-02
   2.400E-03   2.332E-04   1.769E-04   8.588E-05   4.254E-02
   2.350E-03   2.368E-04   1.777E-04   8.809E-05   4.377E-02
   2.320E-03   2.386E-04   1.782E-04   8.931E-05   4.452E-02
   2.310E-03   2.393E-04   1.785E-04   8.972E-05   4.478E-02
   2.300E-03   2.399E-04   1.785E-04   9.013E-05   4.503E-02
   2.250E-03   2.422E-04   1.797E-04   9.243E-05   4.641E-02
   2.200E-03   2.444E-04   1.807E-04   9.466E-05   4.793E-02
