 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.00E+04  8.27E-17  1.79E-18  3.31E-19  3.29E-19  1.13E-18
  9.00E+03  1.19E-16  2.56E-18  4.77E-19  4.77E-19  1.61E-18
  8.00E+03  1.78E-16  3.84E-18  7.17E-19  7.21E-19  2.40E-18
  7.00E+03  2.81E-16  6.05E-18  1.14E-18  1.15E-18  3.76E-18
  6.00E+03  4.76E-16  1.02E-17  1.94E-18  1.98E-18  6.33E-18
  5.50E+03  6.41E-16  1.38E-17  2.63E-18  2.68E-18  8.48E-18
  5.00E+03  8.88E-16  1.91E-17  3.66E-18  3.73E-18  1.17E-17
  4.50E+03  1.27E-15  2.73E-17  5.27E-18  5.38E-18  1.66E-17
  4.00E+03  1.90E-15  4.07E-17  7.92E-18  8.10E-18  2.47E-17
  3.50E+03  2.98E-15  6.40E-17  1.26E-17  1.28E-17  3.86E-17
  3.00E+03  5.01E-15  1.08E-16  2.15E-17  2.18E-17  6.44E-17
  2.50E+03  9.23E-15  1.98E-16  4.02E-17  4.05E-17  1.18E-16
  2.10E+03  1.65E-14  3.55E-16  7.35E-17  7.30E-17  2.09E-16
  1.50E+03  4.92E-14  1.06E-15  2.31E-16  2.20E-16  6.14E-16
  1.38E+03  6.39E-14  1.38E-15  3.04E-16  2.85E-16  7.95E-16
  1.32E+03  7.39E-14  1.60E-15  3.55E-16  3.30E-16  9.18E-16
  1.15E+03  1.14E-13  2.48E-15  5.63E-16  5.07E-16  1.41E-15
  1.00E+03  1.74E-13  3.82E-15  8.94E-16  7.74E-16  2.15E-15
  9.97E+02  1.76E-13  3.85E-15  9.02E-16  7.81E-16  2.17E-15
  8.67E+02  2.65E-13  5.82E-15  1.40E-15  1.18E-15  3.24E-15
  8.50E+02  2.81E-13  6.18E-15  1.50E-15  1.25E-15  3.44E-15
  7.50E+02  4.08E-13  9.02E-15  2.27E-15  1.77E-15  4.98E-15
  6.00E+02  7.37E-13  1.65E-14  4.46E-15  3.15E-15  8.85E-15
  5.50E+02  9.09E-13  2.04E-14  5.72E-15  3.77E-15  1.10E-14
  5.00E+02  1.17E-12  2.63E-14  7.53E-15  4.94E-15  1.38E-14
  4.50E+02  1.54E-12  3.49E-14  1.03E-14  6.84E-15  1.78E-14
  4.00E+02  2.06E-12  4.69E-14  1.45E-14  9.34E-15  2.31E-14
  3.50E+02  2.75E-12  6.19E-14  1.96E-14  1.40E-14  2.83E-14
  3.00E+02  3.80E-12  8.56E-14  2.92E-14  2.01E-14  3.64E-14
  2.75E+02  4.35E-12  9.79E-14  3.50E-14  2.33E-14  3.96E-14
  2.50E+02  4.90E-12  1.10E-13  4.15E-14  2.63E-14  4.24E-14
  2.40E+02  5.13E-12  1.15E-13  4.49E-14  2.73E-14  4.30E-14
  2.00E+02  5.80E-12  1.30E-13  5.78E-14  2.91E-14  4.29E-14
  1.80E+02  5.81E-12  1.30E-13  6.33E-14  2.69E-14  4.00E-14
  1.60E+02  5.59E-12  1.25E-13  6.90E-14  2.22E-14  3.43E-14
  1.50E+02  5.39E-12  1.21E-13  7.17E-14  1.92E-14  3.03E-14
  1.40E+02  4.91E-12  1.10E-13  6.89E-14  1.58E-14  2.50E-14
  1.20E+02  4.03E-12  8.94E-14  6.54E-14  8.81E-15  1.52E-14
  1.00E+02  2.69E-12  5.58E-14  4.62E-14  3.37E-15  6.16E-15
  9.00E+01  2.08E-12  4.01E-14  3.53E-14  1.62E-15  3.19E-15
  8.00E+01  1.49E-12  2.43E-14  2.24E-14  6.21E-16  1.24E-15
  7.50E+01  1.24E-12  1.76E-14  1.66E-14  3.49E-16  7.14E-16
  7.00E+01  1.05E-12  1.22E-14  1.17E-14  1.79E-16  3.63E-16
  6.00E+01  7.65E-13  4.20E-15  4.11E-15  3.11E-17  6.14E-17
  5.00E+01  6.37E-13  7.49E-16  7.43E-16  2.50E-18  4.36E-18
  4.50E+01  6.10E-13  2.21E-16  2.20E-16  4.35E-19  7.05E-19
  4.00E+01  5.86E-13  4.22E-17  4.21E-17  4.54E-20  6.73E-20
  3.50E+01  5.30E-13  4.63E-18  4.63E-18  2.23E-21  3.10E-21
  3.00E+01  4.02E-13  2.17E-19  2.17E-19  3.47E-23  4.67E-23
  2.75E+01  3.18E-13  2.87E-20  2.87E-20  2.31E-24  3.08E-24
  2.50E+01  2.45E-13  2.38E-21  2.38E-21  8.57E-26  1.14E-25
  2.40E+01  2.20E-13  7.60E-22  7.60E-22  1.87E-26  2.48E-26
  2.35E+01  2.08E-13  4.14E-22  4.14E-22  8.35E-27  1.10E-26
  2.32E+01  2.02E-13  2.83E-22  2.83E-22  5.05E-27  6.63E-27
  2.31E+01  2.00E-13  2.48E-22  2.48E-22  4.26E-27  5.58E-27
  2.30E+01  1.98E-13  2.18E-22  2.18E-22  3.59E-27  4.70E-27
  2.25E+01  1.88E-13  1.11E-22  1.11E-22  1.48E-27  1.93E-27
  2.20E+01  1.79E-13  5.49E-23  5.49E-23  5.89E-28  7.60E-28
  2.15E+01  1.71E-13  2.63E-23  2.63E-23  2.23E-28  2.85E-28
  2.12E+01  1.66E-13  1.66E-23  1.66E-23  1.21E-28  1.55E-28
  2.11E+01  1.65E-13  1.42E-23  1.42E-23  9.88E-29  1.26E-28
  2.10E+01  1.63E-13  1.21E-23  1.21E-23  8.01E-29  1.02E-28
  2.08E+01  1.60E-13  8.75E-24  8.75E-24  5.23E-29  6.64E-29
  2.00E+01  1.49E-13  2.23E-24  2.23E-24  8.64E-30  1.10E-29
  1.95E+01  1.43E-13  9.00E-25  9.00E-25  2.56E-30  3.27E-30
  1.90E+01  1.36E-13  3.48E-25  3.48E-25  7.02E-31  9.06E-31
  1.85E+01  1.27E-13  1.27E-25  1.27E-25  1.76E-31  2.30E-31
  1.83E+01  1.23E-13  8.39E-26  8.39E-26  9.89E-32  1.30E-31
  1.82E+01  1.20E-13  6.77E-26  6.77E-26  7.36E-32  9.67E-32
  1.81E+01  1.18E-13  5.46E-26  5.46E-26  5.45E-32  7.19E-32
  1.80E+01  1.16E-13  4.39E-26  4.39E-26  4.03E-32  5.33E-32
  1.75E+01  1.03E-13  1.42E-26  1.42E-26  8.25E-33  1.13E-32
  1.70E+01  9.10E-14  4.26E-27  4.26E-27  1.51E-33  2.15E-33
  1.67E+01  8.39E-14  2.01E-27  2.01E-27  5.12E-34  7.64E-34
  1.65E+01  7.91E-14  1.20E-27  1.20E-27  2.44E-34  3.75E-34
  1.64E+01  7.67E-14  9.26E-28  9.26E-28  1.67E-34  2.61E-34
  1.63E+01  7.42E-14  7.09E-28  7.09E-28  1.14E-34  1.81E-34
  1.61E+01  6.94E-14  4.11E-28  4.11E-28  5.19E-35  8.57E-35
  1.60E+01  6.71E-14  3.12E-28  3.12E-28  3.48E-35  5.86E-35
  1.59E+01  6.49E-14  2.35E-28  2.35E-28  2.32E-35  3.99E-35
  1.58E+01  6.28E-14  1.77E-28  1.77E-28  1.54E-35  2.70E-35
  1.57E+01  6.07E-14  1.32E-28  1.32E-28  1.02E-35  1.82E-35
  1.56E+01  5.87E-14  9.90E-29  9.90E-29  6.76E-36  1.22E-35
  1.54E+01  5.49E-14  5.47E-29  5.47E-29  2.94E-36  5.44E-36
  1.52E+01  5.16E-14  2.95E-29  2.95E-29  1.27E-36  2.36E-36
  1.51E+01  5.00E-14  2.16E-29  2.16E-29  8.38E-37  1.55E-36
  1.50E+01  4.85E-14  1.56E-29  1.56E-29  5.51E-37  1.01E-36
  1.45E+01  4.25E-14  2.97E-30  2.97E-30  6.58E-38  1.09E-37
  1.44E+01  4.17E-14  2.10E-30  2.10E-30  4.25E-38  6.89E-38
  1.43E+01  4.12E-14  1.48E-30  1.48E-30  2.72E-38  4.34E-38
  1.42E+01  4.05E-14  1.04E-30  1.04E-30  1.73E-38  2.72E-38
  1.40E+01  3.98E-14  5.03E-31  5.03E-31  6.89E-39  1.06E-38
  1.38E+01  4.04E-14  2.38E-31  2.38E-31  2.66E-39  4.01E-39
  1.37E+01  4.15E-14  1.63E-31  1.63E-31  1.64E-39  2.46E-39
  1.36E+01  4.27E-14  1.10E-31  1.10E-31  9.99E-40  1.50E-39
  1.35E+01  4.33E-14  7.47E-32  7.47E-32  6.07E-40  9.07E-40
  1.34E+01  4.43E-14  5.02E-32  5.02E-32  3.66E-40  5.45E-40
