 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.00E+04  8.27E-17  1.19E-17  1.86E-17  1.79E-18  4.79E-17  1.70E-19  4.21E-18  1.43E-22  3.03E-21
  9.00E+03  1.19E-16  1.71E-17  2.69E-17  2.56E-18  6.84E-17  2.64E-19  6.11E-18  2.14E-22  8.23E-21
  8.00E+03  1.78E-16  2.57E-17  4.07E-17  3.84E-18  1.02E-16  4.30E-19  9.28E-18  3.34E-22  2.21E-20
  7.00E+03  2.81E-16  4.09E-17  6.50E-17  6.05E-18  1.60E-16  7.40E-19  1.46E-17  5.53E-22  5.85E-20
  6.00E+03  4.76E-16  6.97E-17  1.12E-16  1.02E-17  2.69E-16  1.36E-18  2.50E-17  9.82E-22  1.51E-19
  5.50E+03  6.41E-16  9.43E-17  1.51E-16  1.38E-17  3.60E-16  1.91E-18  3.38E-17  1.35E-21  2.41E-19
  5.00E+03  8.88E-16  1.31E-16  2.11E-16  1.91E-17  4.96E-16  2.76E-18  4.65E-17  1.92E-21  3.81E-19
  4.50E+03  1.27E-15  1.89E-16  3.04E-16  2.73E-17  7.07E-16  4.09E-18  6.70E-17  2.82E-21  5.97E-19
  4.00E+03  1.90E-15  2.85E-16  4.58E-16  4.07E-17  1.05E-15  6.31E-18  9.90E-17  4.31E-21  9.22E-19
  3.50E+03  2.98E-15  4.52E-16  7.26E-16  6.40E-17  1.64E-15  1.02E-17  1.56E-16  6.91E-21  1.40E-18
  3.00E+03  5.01E-15  7.71E-16  1.23E-15  1.08E-16  2.73E-15  1.74E-17  2.57E-16  1.18E-20  2.09E-18
  2.50E+03  9.23E-15  1.45E-15  2.29E-15  1.98E-16  4.99E-15  3.20E-17  4.65E-16  2.20E-20  3.03E-18
  2.10E+03  1.65E-14  2.65E-15  4.14E-15  3.55E-16  8.85E-15  5.61E-17  8.14E-16  3.96E-20  3.96E-18
  1.50E+03  4.92E-14  8.31E-15  1.25E-14  1.06E-15  2.60E-14  1.75E-16  2.26E-15  1.18E-19  5.49E-18
  1.38E+03  6.39E-14  1.10E-14  1.62E-14  1.38E-15  3.36E-14  2.30E-16  2.89E-15  1.53E-19  5.76E-18
  1.32E+03  7.39E-14  1.28E-14  1.88E-14  1.60E-15  3.88E-14  2.68E-16  3.30E-15  1.78E-19  5.89E-18
  1.15E+03  1.14E-13  2.03E-14  2.89E-14  2.48E-15  5.93E-14  4.19E-16  4.87E-15  2.78E-19  6.20E-18
  1.00E+03  1.74E-13  3.22E-14  4.42E-14  3.82E-15  9.02E-14  6.51E-16  7.11E-15  4.39E-19  6.36E-18
  9.97E+02  1.76E-13  3.25E-14  4.46E-14  3.85E-15  9.11E-14  6.57E-16  7.16E-15  4.43E-19  6.47E-18
  8.67E+02  2.65E-13  5.06E-14  6.74E-14  5.82E-15  1.36E-13  1.01E-15  1.03E-14  7.05E-19  1.34E-17
  8.50E+02  2.81E-13  5.40E-14  7.14E-14  6.18E-15  1.44E-13  1.07E-15  1.09E-14  7.53E-19  1.48E-17
  7.50E+02  4.08E-13  8.20E-14  1.02E-13  9.02E-15  2.08E-13  1.55E-15  1.48E-14  1.15E-18  2.55E-17
  6.00E+02  7.37E-13  1.61E-13  1.82E-13  1.65E-14  3.66E-13  2.88E-15  2.48E-14  2.43E-18  5.56E-17
  5.50E+02  9.09E-13  2.07E-13  2.17E-13  2.04E-14  4.51E-13  3.61E-15  3.02E-14  3.26E-18  7.13E-17
  5.00E+02  1.17E-12  2.72E-13  2.85E-13  2.63E-14  5.67E-13  4.57E-15  3.72E-14  4.45E-18  9.06E-17
  4.50E+02  1.54E-12  3.71E-13  3.96E-13  3.49E-14  7.24E-13  5.91E-15  4.66E-14  6.26E-18  1.14E-16
  4.00E+02  2.06E-12  5.23E-13  5.43E-13  4.69E-14  9.31E-13  7.73E-15  5.94E-14  9.06E-18  1.42E-16
  3.50E+02  2.75E-12  7.12E-13  8.18E-13  6.19E-14  1.13E-12  1.03E-14  7.74E-14  1.35E-17  1.73E-16
  3.00E+02  3.80E-12  1.06E-12  1.19E-12  8.56E-14  1.43E-12  1.40E-14  1.04E-13  2.10E-17  2.07E-16
  2.75E+02  4.35E-12  1.27E-12  1.40E-12  9.79E-14  1.54E-12  1.66E-14  1.22E-13  2.65E-17  2.25E-16
  2.50E+02  4.90E-12  1.51E-12  1.60E-12  1.10E-13  1.63E-12  1.96E-14  1.44E-13  3.38E-17  2.42E-16
  2.40E+02  5.13E-12  1.63E-12  1.68E-12  1.15E-13  1.65E-12  2.11E-14  1.54E-13  3.74E-17  2.52E-16
  2.00E+02  5.80E-12  2.10E-12  1.88E-12  1.30E-13  1.60E-12  2.85E-14  1.94E-13  5.64E-17  3.10E-16
  1.80E+02  5.81E-12  2.30E-12  1.80E-12  1.30E-13  1.46E-12  3.35E-14  2.20E-13  6.97E-17  3.39E-16
  1.60E+02  5.59E-12  2.51E-12  1.56E-12  1.25E-13  1.23E-12  3.99E-14  2.50E-13  8.62E-17  3.66E-16
  1.50E+02  5.39E-12  2.61E-12  1.39E-12  1.21E-13  1.08E-12  4.37E-14  2.66E-13  9.59E-17  3.78E-16
  1.40E+02  4.91E-12  2.51E-12  1.19E-12  1.10E-13  8.78E-13  4.82E-14  2.85E-13  1.07E-16  3.40E-16
  1.20E+02  4.03E-12  2.39E-12  7.34E-13  8.94E-14  5.18E-13  5.93E-14  3.28E-13  1.32E-16  2.54E-16
  1.00E+02  2.69E-12  1.70E-12  3.27E-13  5.58E-14  2.03E-13  7.51E-14  3.79E-13  1.63E-16  1.84E-16
  9.00E+01  2.08E-12  1.31E-12  1.75E-13  4.01E-14  1.03E-13  8.57E-14  4.06E-13  1.82E-16  1.54E-16
  8.00E+01  1.49E-12  8.44E-13  7.64E-14  2.43E-14  3.94E-14  9.88E-14  4.31E-13  2.05E-16  1.10E-16
  7.50E+01  1.24E-12  6.25E-13  4.65E-14  1.76E-14  2.22E-14  1.07E-13  4.42E-13  2.18E-16  9.23E-17
  7.00E+01  1.05E-12  4.45E-13  2.61E-14  1.22E-14  1.12E-14  1.16E-13  4.50E-13  2.32E-16  7.72E-17
  6.00E+01  7.65E-13  1.62E-13  5.76E-15  4.20E-15  1.84E-15  1.40E-13  4.55E-13  2.63E-16  5.31E-17
  5.00E+01  6.37E-13  3.11E-14  6.53E-16  7.49E-16  1.28E-16  1.77E-13  4.28E-13  2.97E-16  3.57E-17
  4.50E+01  6.10E-13  9.66E-15  1.44E-16  2.21E-16  2.04E-17  2.03E-13  3.97E-13  3.14E-16  2.89E-17
  4.00E+01  5.86E-13  1.98E-15  2.05E-17  4.22E-17  1.94E-18  2.31E-13  3.52E-13  3.34E-16  2.31E-17
  3.50E+01  5.30E-13  2.38E-16  1.50E-18  4.63E-18  8.86E-20  2.38E-13  2.91E-13  3.61E-16  1.82E-17
  3.00E+01  4.02E-13  1.27E-17  4.05E-20  2.17E-19  1.35E-21  1.75E-13  2.26E-13  4.17E-16  1.45E-17
  2.75E+01  3.18E-13  1.84E-18  3.80E-21  2.87E-20  9.01E-23  1.22E-13  1.95E-13  4.88E-16  1.29E-17
  2.50E+01  2.45E-13  1.71E-19  2.13E-22  2.38E-21  3.38E-24  7.65E-14  1.67E-13  7.09E-16  1.14E-17
  2.40E+01  2.20E-13  5.74E-20  5.59E-23  7.60E-22  7.46E-25  6.21E-14  1.56E-13  9.45E-16  1.08E-17
  2.35E+01  2.08E-13  3.21E-20  2.74E-23  4.14E-22  3.34E-25  5.58E-14  1.51E-13  1.09E-15  1.05E-17
  2.32E+01  2.02E-13  2.23E-20  1.76E-23  2.83E-22  2.02E-25  5.23E-14  1.48E-13  1.16E-15  1.03E-17
  2.31E+01  2.00E-13  1.97E-20  1.52E-23  2.48E-22  1.70E-25  5.12E-14  1.47E-13  1.17E-15  1.03E-17
  2.30E+01  1.98E-13  1.74E-20  1.31E-23  2.18E-22  1.44E-25  5.01E-14  1.46E-13  1.18E-15  1.02E-17
  2.25E+01  1.88E-13  9.16E-21  6.00E-24  1.11E-22  5.95E-26  4.49E-14  1.42E-13  1.20E-15  9.93E-18
  2.20E+01  1.79E-13  4.67E-21  2.67E-24  5.49E-23  2.36E-26  4.03E-14  1.38E-13  1.22E-15  9.65E-18
  2.15E+01  1.71E-13  2.31E-21  1.14E-24  2.63E-23  8.98E-27  3.61E-14  1.33E-13  1.30E-15  9.37E-18
  2.12E+01  1.66E-13  1.49E-21  6.71E-25  1.66E-23  4.91E-27  3.38E-14  1.31E-13  1.34E-15  9.21E-18
