 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   1.759E-09   7.693E-09   2.829E-08   1.641E-06
   9.000E-01   2.061E-09   9.081E-09   3.291E-08   1.923E-06
   8.000E-01   2.462E-09   1.094E-08   3.901E-08   2.296E-06
   7.000E-01   3.015E-09   1.351E-08   4.732E-08   2.807E-06
   6.000E-01   3.816E-09   1.727E-08   5.923E-08   3.546E-06
   5.500E-01   4.362E-09   1.984E-08   6.726E-08   4.049E-06
   5.000E-01   5.054E-09   2.310E-08   7.735E-08   4.680E-06
   4.500E-01   5.953E-09   2.735E-08   9.034E-08   5.502E-06
   4.000E-01   7.156E-09   3.304E-08   1.075E-07   6.588E-06
   3.500E-01   8.829E-09   4.097E-08   1.312E-07   8.104E-06
   3.000E-01   1.128E-08   5.254E-08   1.652E-07   1.028E-05
   2.500E-01   1.510E-08   7.061E-08   2.175E-07   1.366E-05
   2.098E-01   2.007E-08   9.386E-08   2.840E-07   1.799E-05
   1.500E-01   3.490E-08   1.624E-07   4.768E-07   3.065E-05
   1.382E-01   4.003E-08   1.857E-07   5.420E-07   3.497E-05
   1.320E-01   4.325E-08   2.003E-07   5.825E-07   3.766E-05
   1.150E-01   5.463E-08   2.513E-07   7.245E-07   4.707E-05
   1.000E-01   6.948E-08   3.160E-07   9.060E-07   5.907E-05
   9.970E-02   6.985E-08   3.176E-07   9.104E-07   5.937E-05
   8.670E-02   8.795E-08   4.007E-07   1.131E-06   7.431E-05
   8.500E-02   9.110E-08   4.141E-07   1.170E-06   7.684E-05
   7.500E-02   1.156E-07   5.094E-07   1.461E-06   9.548E-05
   6.000E-02   1.700E-07   7.360E-07   2.069E-06   1.369E-04
   5.500E-02   1.970E-07   8.253E-07   2.385E-06   1.568E-04
   5.000E-02   2.345E-07   1.024E-06   2.824E-06   1.883E-04
   4.500E-02   2.889E-07   1.359E-06   3.443E-06   2.355E-04
   4.000E-02   3.711E-07   1.820E-06   4.315E-06   3.018E-04
   3.500E-02   4.653E-07   2.774E-06   5.285E-06   4.019E-04
   3.000E-02   6.568E-07   4.332E-06   7.205E-06   5.795E-04
   2.750E-02   7.839E-07   5.452E-06   8.375E-06   7.002E-04
   2.500E-02   9.438E-07   6.940E-06   9.963E-06   8.622E-04
   2.400E-02   1.037E-06   7.679E-06   1.068E-05   9.406E-04
   2.000E-02   1.517E-06   1.190E-05   1.488E-05   1.389E-03
   1.800E-02   1.890E-06   1.469E-05   1.816E-05   1.717E-03
   1.600E-02   2.513E-06   1.815E-05   2.268E-05   2.158E-03
   1.500E-02   2.998E-06   2.028E-05   2.559E-05   2.442E-03
   1.400E-02   3.410E-06   2.265E-05   2.830E-05   2.741E-03
   1.200E-02   5.215E-06   2.856E-05   3.750E-05   3.635E-03
   1.000E-02   7.924E-06   3.712E-05   5.027E-05   4.965E-03
   9.000E-03   1.057E-05   4.193E-05   6.047E-05   5.936E-03
   8.000E-03   1.403E-05   4.844E-05   7.025E-05   7.106E-03
   7.500E-03   1.642E-05   5.349E-05   7.899E-05   8.004E-03
   7.000E-03   1.985E-05   5.979E-05   8.768E-05   9.085E-03
   6.000E-03   2.853E-05   7.613E-05   1.103E-04   1.197E-02
   5.000E-03   4.056E-05   1.068E-04   1.423E-04   1.684E-02
   4.500E-03   4.974E-05   1.289E-04   1.657E-04   2.064E-02
   4.000E-03   5.862E-05   1.555E-04   1.935E-04   2.572E-02
   3.500E-03   6.995E-05   1.838E-04   2.327E-04   3.236E-02
   3.000E-03   8.421E-05   2.090E-04   2.882E-04   4.127E-02
   2.750E-03   9.050E-05   2.174E-04   3.225E-04   4.654E-02
   2.500E-03   9.512E-05   2.232E-04   3.623E-04   5.286E-02
   2.400E-03   9.772E-05   2.247E-04   3.804E-04   5.581E-02
   2.350E-03   9.926E-05   2.257E-04   3.904E-04   5.750E-02
   2.320E-03   1.000E-04   2.263E-04   3.960E-04   5.854E-02
   2.310E-03   1.003E-04   2.266E-04   3.978E-04   5.889E-02
   2.300E-03   1.006E-04   2.267E-04   3.997E-04   5.924E-02
   2.250E-03   1.015E-04   2.281E-04   4.101E-04   6.117E-02
   2.200E-03   1.025E-04   2.295E-04   4.201E-04   6.331E-02
   2.150E-03   1.038E-04   2.304E-04   4.296E-04   6.553E-02
   2.120E-03   1.046E-04   2.300E-04   4.356E-04   6.694E-02
   2.110E-03   1.048E-04   2.299E-04   4.374E-04   6.741E-02
   2.100E-03   1.050E-04   2.297E-04   4.391E-04   6.790E-02
   2.080E-03   1.050E-04   2.286E-04   4.418E-04   6.878E-02
   2.000E-03   1.053E-04   2.235E-04   4.551E-04   7.260E-02
   1.950E-03   1.062E-04   2.169E-04   4.587E-04   7.499E-02
   1.900E-03   1.078E-04   2.075E-04   4.587E-04   7.687E-02
   1.850E-03   1.093E-04   1.950E-04   4.520E-04   7.788E-02
   1.830E-03   1.101E-04   1.892E-04   4.476E-04   7.806E-02
