 #   Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  1.00E+04  1.04E-16  4.30E-18  1.80E-17  1.91E-18  7.85E-17  2.36E-19  3.43E-18  9.07E-23  3.03E-21
  9.00E+03  1.50E-16  6.19E-18  2.60E-17  2.72E-18  1.12E-16  3.67E-19  4.99E-18  1.36E-22  8.23E-21
  8.00E+03  2.24E-16  9.31E-18  3.94E-17  4.06E-18  1.67E-16  5.98E-19  7.58E-18  2.12E-22  2.21E-20
  7.00E+03  3.53E-16  1.48E-17  6.29E-17  6.39E-18  2.62E-16  1.03E-18  1.20E-17  3.50E-22  5.85E-20
  6.00E+03  5.96E-16  2.52E-17  1.08E-16  1.08E-17  4.41E-16  1.90E-18  2.05E-17  6.22E-22  1.51E-19
  5.50E+03  8.02E-16  3.41E-17  1.46E-16  1.44E-17  5.91E-16  2.67E-18  2.77E-17  8.58E-22  2.41E-19
  5.00E+03  1.11E-15  4.75E-17  2.04E-16  1.99E-17  8.14E-16  3.85E-18  3.82E-17  1.22E-21  3.81E-19
  4.50E+03  1.58E-15  6.85E-17  2.94E-16  2.84E-17  1.16E-15  5.72E-18  5.50E-17  1.78E-21  5.97E-19
  4.00E+03  2.36E-15  1.03E-16  4.42E-16  4.22E-17  1.72E-15  8.83E-18  8.14E-17  2.72E-21  9.22E-19
  3.50E+03  3.69E-15  1.64E-16  7.01E-16  6.60E-17  2.69E-15  1.43E-17  1.29E-16  4.37E-21  1.40E-18
  3.00E+03  6.19E-15  2.79E-16  1.19E-15  1.10E-16  4.48E-15  2.44E-17  2.12E-16  7.47E-21  2.09E-18
  2.50E+03  1.13E-14  5.24E-16  2.21E-15  2.02E-16  8.18E-15  4.51E-17  3.85E-16  1.39E-20  3.03E-18
  2.10E+03  2.02E-14  9.57E-16  3.98E-15  3.60E-16  1.45E-14  7.92E-17  6.75E-16  2.49E-20  3.96E-18
  1.50E+03  5.96E-14  3.00E-15  1.20E-14  1.06E-15  4.25E-14  2.49E-16  1.88E-15  7.38E-20  5.49E-18
  1.38E+03  7.73E-14  3.96E-15  1.56E-14  1.38E-15  5.50E-14  3.28E-16  2.41E-15  9.60E-20  5.76E-18
  1.32E+03  8.92E-14  4.62E-15  1.80E-14  1.59E-15  6.34E-14  3.82E-16  2.75E-15  1.11E-19  5.89E-18
  1.15E+03  1.37E-13  7.33E-15  2.77E-14  2.44E-15  9.69E-14  5.99E-16  4.08E-15  1.73E-19  6.20E-18
  1.00E+03  2.08E-13  1.16E-14  4.22E-14  3.73E-15  1.48E-13  9.32E-16  5.97E-15  2.74E-19  6.36E-18
  9.97E+02  2.10E-13  1.17E-14  4.26E-14  3.76E-15  1.49E-13  9.41E-16  6.02E-15  2.76E-19  6.47E-18
  8.67E+02  3.14E-13  1.83E-14  6.42E-14  5.64E-15  2.22E-13  1.45E-15  8.70E-15  4.39E-19  1.34E-17
  8.50E+02  3.33E-13  1.95E-14  6.80E-14  5.98E-15  2.35E-13  1.54E-15  9.15E-15  4.69E-19  1.48E-17
