 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   1.178E-09   6.168E-09   2.483E-08   1.444E-06
   9.000E-01   1.380E-09   7.282E-09   2.889E-08   1.693E-06
   8.000E-01   1.649E-09   8.771E-09   3.425E-08   2.024E-06
   7.000E-01   2.019E-09   1.084E-08   4.154E-08   2.476E-06
   6.000E-01   2.556E-09   1.385E-08   5.199E-08   3.132E-06
   5.500E-01   2.922E-09   1.591E-08   5.905E-08   3.578E-06
   5.000E-01   3.386E-09   1.852E-08   6.790E-08   4.139E-06
   4.500E-01   3.988E-09   2.193E-08   7.930E-08   4.870E-06
   4.000E-01   4.794E-09   2.649E-08   9.438E-08   5.836E-06
   3.500E-01   5.914E-09   3.285E-08   1.151E-07   7.185E-06
   3.000E-01   7.554E-09   4.213E-08   1.450E-07   9.122E-06
   2.500E-01   1.012E-08   5.662E-08   1.909E-07   1.214E-05
   2.098E-01   1.344E-08   7.526E-08   2.493E-07   1.599E-05
   1.500E-01   2.338E-08   1.302E-07   4.185E-07   2.729E-05
   1.382E-01   2.682E-08   1.489E-07   4.758E-07   3.116E-05
   1.320E-01   2.897E-08   1.606E-07   5.114E-07   3.355E-05
   1.150E-01   3.660E-08   2.015E-07   6.359E-07   4.196E-05
   1.000E-01   4.655E-08   2.534E-07   7.953E-07   5.268E-05
   9.970E-02   4.680E-08   2.547E-07   7.992E-07   5.294E-05
   8.670E-02   5.893E-08   3.213E-07   9.926E-07   6.631E-05
   8.500E-02   6.104E-08   3.321E-07   1.027E-06   6.857E-05
   7.500E-02   7.745E-08   4.084E-07   1.282E-06   8.514E-05
   6.000E-02   1.139E-07   5.902E-07   1.816E-06   1.222E-04
   5.500E-02   1.320E-07   6.618E-07   2.094E-06   1.399E-04
   5.000E-02   1.571E-07   8.214E-07   2.479E-06   1.682E-04
   4.500E-02   1.936E-07   1.090E-06   3.022E-06   2.110E-04
   4.000E-02   2.487E-07   1.459E-06   3.787E-06   2.710E-04
   3.500E-02   3.118E-07   2.225E-06   4.638E-06   3.639E-04
   3.000E-02   4.401E-07   3.474E-06   6.322E-06   5.274E-04
   2.750E-02   5.253E-07   4.372E-06   7.347E-06   6.395E-04
   2.500E-02   6.325E-07   5.565E-06   8.740E-06   7.897E-04
   2.400E-02   6.947E-07   6.158E-06   9.368E-06   8.627E-04
   2.000E-02   1.017E-06   9.538E-06   1.305E-05   1.280E-03
   1.800E-02   1.267E-06   1.178E-05   1.592E-05   1.583E-03
   1.600E-02   1.684E-06   1.455E-05   1.988E-05   1.991E-03
   1.500E-02   2.009E-06   1.626E-05   2.243E-05   2.253E-03
   1.400E-02   2.285E-06   1.817E-05   2.480E-05   2.531E-03
   1.200E-02   3.494E-06   2.290E-05   3.286E-05   3.355E-03
   1.000E-02   5.310E-06   2.976E-05   4.401E-05   4.586E-03
   9.000E-03   7.081E-06   3.363E-05   5.292E-05   5.479E-03
   8.000E-03   9.401E-06   3.884E-05   6.143E-05   6.570E-03
   7.500E-03   1.101E-05   4.289E-05   6.905E-05   7.399E-03
   7.000E-03   1.330E-05   4.794E-05   7.660E-05   8.410E-03
   6.000E-03   1.912E-05   6.105E-05   9.625E-05   1.111E-02
   5.000E-03   2.719E-05   8.568E-05   1.239E-04   1.569E-02
   4.500E-03   3.334E-05   1.034E-04   1.440E-04   1.927E-02
   4.000E-03   3.930E-05   1.247E-04   1.679E-04   2.405E-02
   3.500E-03   4.690E-05   1.474E-04   2.013E-04   3.027E-02
   3.000E-03   5.648E-05   1.677E-04   2.484E-04   3.853E-02
   2.750E-03   6.071E-05   1.743E-04   2.773E-04   4.336E-02
   2.500E-03   6.382E-05   1.790E-04   3.107E-04   4.911E-02
   2.400E-03   6.557E-05   1.802E-04   3.260E-04   5.178E-02
   2.350E-03   6.661E-05   1.810E-04   3.345E-04   5.331E-02
   2.320E-03   6.711E-05   1.815E-04   3.391E-04   5.425E-02
   2.310E-03   6.729E-05   1.818E-04   3.407E-04   5.458E-02
   2.300E-03   6.748E-05   1.819E-04   3.422E-04   5.489E-02
   2.250E-03   6.812E-05   1.830E-04   3.510E-04   5.665E-02
   2.200E-03   6.876E-05   1.841E-04   3.595E-04   5.859E-02
   2.150E-03   6.967E-05   1.848E-04   3.675E-04   6.062E-02
   2.120E-03   7.023E-05   1.845E-04   3.726E-04   6.191E-02
   2.110E-03   7.037E-05   1.844E-04   3.742E-04   6.234E-02
   2.100E-03   7.045E-05   1.842E-04   3.756E-04   6.279E-02
   2.080E-03   7.048E-05   1.833E-04   3.779E-04   6.359E-02
   2.000E-03   7.070E-05   1.793E-04   3.893E-04   6.707E-02
   1.950E-03   7.132E-05   1.740E-04   3.926E-04   6.925E-02
   1.900E-03   7.237E-05   1.664E-04   3.927E-04   7.095E-02
   1.850E-03   7.342E-05   1.564E-04   3.871E-04   7.184E-02
   1.830E-03   7.392E-05   1.517E-04   3.834E-04   7.199E-02
