 #   Polarized Flux in [erg/s/Hz/ster] per g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  1.00E+04  1.06E-16  1.77E-18  1.08E-19  3.24E-19  1.34E-18
  9.00E+03  1.52E-16  2.54E-18  1.56E-19  4.69E-19  1.91E-18
  8.00E+03  2.27E-16  3.79E-18  2.34E-19  7.09E-19  2.85E-18
  7.00E+03  3.57E-16  5.97E-18  3.72E-19  1.13E-18  4.46E-18
  6.00E+03  6.03E-16  1.01E-17  6.35E-19  1.94E-18  7.51E-18
  5.50E+03  8.11E-16  1.36E-17  8.59E-19  2.63E-18  1.01E-17
  5.00E+03  1.12E-15  1.87E-17  1.20E-18  3.67E-18  1.39E-17
  4.50E+03  1.60E-15  2.68E-17  1.72E-18  5.29E-18  1.97E-17
  4.00E+03  2.38E-15  3.98E-17  2.59E-18  7.96E-18  2.93E-17
  3.50E+03  3.73E-15  6.25E-17  4.11E-18  1.26E-17  4.58E-17
  3.00E+03  6.24E-15  1.05E-16  7.01E-18  2.14E-17  7.64E-17
  2.50E+03  1.14E-14  1.92E-16  1.32E-17  3.98E-17  1.39E-16
  2.10E+03  2.03E-14  3.43E-16  2.40E-17  7.16E-17  2.48E-16
  1.50E+03  5.99E-14  1.02E-15  7.54E-17  2.15E-16  7.28E-16
  1.38E+03  7.75E-14  1.32E-15  9.94E-17  2.79E-16  9.42E-16
  1.32E+03  8.95E-14  1.53E-15  1.16E-16  3.23E-16  1.09E-15
  1.15E+03  1.37E-13  2.35E-15  1.84E-16  4.96E-16  1.67E-15
  1.00E+03  2.08E-13  3.59E-15  2.92E-16  7.57E-16  2.54E-15
  9.97E+02  2.10E-13  3.62E-15  2.95E-16  7.64E-16  2.57E-15
  8.67E+02  3.14E-13  5.44E-15  4.59E-16  1.15E-15  3.84E-15
  8.50E+02  3.32E-13  5.77E-15  4.89E-16  1.22E-15  4.07E-15
  7.50E+02  4.78E-13  8.36E-15  7.41E-16  1.72E-15  5.90E-15
  6.00E+02  8.43E-13  1.50E-14  1.46E-15  3.06E-15  1.05E-14
  5.50E+02  1.03E-12  1.85E-14  1.86E-15  3.65E-15  1.29E-14
  5.00E+02  1.31E-12  2.36E-14  2.46E-15  4.78E-15  1.63E-14
  4.50E+02  1.70E-12  3.10E-14  3.34E-15  6.61E-15  2.10E-14
  4.00E+02  2.21E-12  4.09E-14  4.71E-15  9.00E-15  2.72E-14
  3.50E+02  2.83E-12  5.31E-14  6.39E-15  1.34E-14  3.33E-14
  3.00E+02  3.74E-12  7.14E-14  9.48E-15  1.92E-14  4.28E-14
  2.75E+02  4.16E-12  8.00E-14  1.14E-14  2.22E-14  4.65E-14
  2.50E+02  4.54E-12  8.82E-14  1.35E-14  2.49E-14  4.98E-14
  2.40E+02  4.66E-12  9.09E-14  1.46E-14  2.58E-14  5.05E-14
  2.00E+02  4.85E-12  9.62E-14  1.87E-14  2.73E-14  5.02E-14
  1.80E+02  4.62E-12  9.22E-14  2.05E-14  2.50E-14  4.67E-14
  1.60E+02  4.12E-12  8.27E-14  2.23E-14  2.05E-14  3.99E-14
  1.50E+02  3.77E-12  7.61E-14  2.31E-14  1.76E-14  3.53E-14
  1.40E+02  3.28E-12  6.57E-14  2.22E-14  1.44E-14  2.91E-14
  1.20E+02  2.38E-12  4.65E-14  2.10E-14  7.96E-15  1.75E-14
  1.00E+02  1.45E-12  2.49E-14  1.48E-14  2.99E-15  7.09E-15
  9.00E+01  1.11E-12  1.63E-14  1.13E-14  1.42E-15  3.66E-15
  8.00E+01  8.53E-13  9.08E-15  7.12E-15  5.40E-16  1.42E-15
  7.50E+01  7.63E-13  6.36E-15  5.25E-15  3.02E-16  8.13E-16
  7.00E+01  7.00E-13  4.25E-15  3.68E-15  1.54E-16  4.12E-16
  6.00E+01  6.25E-13  1.39E-15  1.29E-15  2.63E-17  6.92E-17
  5.00E+01  6.07E-13  2.38E-16  2.31E-16  2.09E-18  4.88E-18
  4.50E+01  6.08E-13  6.93E-17  6.81E-17  3.60E-19  7.84E-19
  4.00E+01  6.03E-13  1.31E-17  1.30E-17  3.72E-20  7.43E-20
  3.50E+01  5.55E-13  1.42E-18  1.41E-18  1.81E-21  3.39E-21
  3.00E+01  4.07E-13  6.56E-20  6.56E-20  2.79E-23  5.07E-23
  2.75E+01  3.07E-13  8.62E-21  8.62E-21  1.85E-24  3.33E-24
  2.50E+01  2.21E-13  7.11E-22  7.11E-22  6.83E-26  1.22E-25
  2.40E+01  1.93E-13  2.26E-22  2.26E-22  1.49E-26  2.65E-26
  2.35E+01  1.80E-13  1.23E-22  1.23E-22  6.64E-27  1.18E-26
  2.32E+01  1.73E-13  8.37E-23  8.37E-23  4.01E-27  7.09E-27
  2.31E+01  1.71E-13  7.36E-23  7.36E-23  3.39E-27  5.97E-27
  2.30E+01  1.69E-13  6.46E-23  6.46E-23  2.85E-27  5.02E-27
  2.25E+01  1.58E-13  3.29E-23  3.29E-23  1.18E-27  2.06E-27
  2.20E+01  1.49E-13  1.62E-23  1.62E-23  4.67E-28  8.10E-28
  2.15E+01  1.39E-13  7.74E-24  7.74E-24  1.77E-28  3.04E-28
  2.12E+01  1.34E-13  4.88E-24  4.88E-24  9.62E-29  1.65E-28
  2.11E+01  1.33E-13  4.17E-24  4.17E-24  7.82E-29  1.34E-28
  2.10E+01  1.31E-13  3.56E-24  3.56E-24  6.34E-29  1.08E-28
  2.08E+01  1.28E-13  2.57E-24  2.57E-24  4.14E-29  7.06E-29
  2.00E+01  1.17E-13  6.52E-25  6.52E-25  6.83E-30  1.17E-29
  1.95E+01  1.10E-13  2.63E-25  2.63E-25  2.02E-30  3.47E-30
  1.90E+01  1.03E-13  1.01E-25  1.01E-25  5.53E-31  9.58E-31
  1.85E+01  9.55E-14  3.70E-26  3.70E-26  1.39E-31  2.43E-31
  1.83E+01  9.22E-14  2.44E-26  2.44E-26  7.79E-32  1.37E-31
  1.82E+01  9.04E-14  1.96E-26  1.96E-26  5.79E-32  1.02E-31
  1.81E+01  8.85E-14  1.58E-26  1.58E-26  4.29E-32  7.59E-32
  1.80E+01  8.66E-14  1.27E-26  1.27E-26  3.17E-32  5.63E-32
  1.75E+01  7.70E-14  4.11E-27  4.11E-27  6.49E-33  1.19E-32
  1.70E+01  6.75E-14  1.23E-27  1.23E-27  1.18E-33  2.27E-33
  1.67E+01  6.22E-14  5.79E-28  5.79E-28  4.02E-34  8.04E-34
  1.65E+01  5.86E-14  3.46E-28  3.46E-28  1.91E-34  3.95E-34
  1.64E+01  5.68E-14  2.66E-28  2.66E-28  1.31E-34  2.74E-34
  1.63E+01  5.50E-14  2.04E-28  2.04E-28  8.91E-35  1.90E-34
  1.61E+01  5.15E-14  1.18E-28  1.18E-28  4.07E-35  8.99E-35
